Valerie LAMBERT POSITION,Valerie LAMBERT LAP TIME,Valerie LAMBERT ELAPSED TIME,Julia RIEDEL POSITION,Julia RIEDEL LAP TIME,Julia RIEDEL ELAPSED TIME,Veronika WINDISCH POSITION,Veronika WINDISCH LAP TIME,Veronika WINDISCH ELAPSED TIME,Celine LECOMPERE POSITION,Celine LECOMPERE LAP TIME,Celine LECOMPERE ELAPSED TIME
3,14.357,14.357,4,14.452,14.452,2,14.238,14.238,1,14.125,14.125
3,11.102,25.459,4,11.064,25.516,2,11.130,25.368,1,11.230,25.355
3,10.979,36.439,4,11.090,36.606,1,10.836,36.203,2,10.975,36.330
3,10.788,47.227,4,10.735,47.341,1,10.901,47.105,2,10.833,47.162
1,10.285,57.512,2,10.323,57.664,4,10.590,57.694,3,10.507,57.669
1,9.604,1:07.116,4,10.072,1:07.736,2,9.731,1:07.425,3,10.003,1:07.672
1,9.872,1:16.988,3,9.893,1:17.630,2,9.795,1:17.221,4,10.025,1:17.697
1,10.149,1:27.137,3,9.868,1:27.498,2,9.997,1:27.217,4,10.329,1:28.026
1,10.404,1:37.540,2,10.171,1:37.668,3,10.461,1:37.678,4,10.778,1:38.804
