Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME,Nicolas BEAN POSITION,Nicolas BEAN LAP TIME,Nicolas BEAN ELAPSED TIME,Mark JACKSON POSITION,Mark JACKSON LAP TIME,Mark JACKSON ELAPSED TIME,Azamat SULTANALIYEV POSITION,Azamat SULTANALIYEV LAP TIME,Azamat SULTANALIYEV ELAPSED TIME,Ievgen GUTENOV POSITION,Ievgen GUTENOV LAP TIME,Ievgen GUTENOV ELAPSED TIME,Jumpei YOSHIZAWA POSITION,Jumpei YOSHIZAWA LAP TIME,Jumpei YOSHIZAWA ELAPSED TIME
3,8.49,8.49,5,8.63,8.63,6,8.82,8.82,2,8.03,8.03,1,7.82,7.82,4,8.61,8.61
2,10.31,18.80,4,10.38,19.01,6,10.37,19.19,3,10.81,18.84,1,10.85,18.67,5,10.49,19.10
1,10.04,28.84,4,10.09,29.10,6,10.08,29.27,3,10.18,29.02,2,10.27,28.94,5,10.08,29.18
1,10.27,39.11,4,10.35,39.45,6,10.27,39.54,3,10.33,39.35,2,10.30,39.24,5,10.36,39.54
2,10.14,49.25,4,9.97,49.42,1,9.51,49.05,5,10.13,49.48,3,10.15,49.39,6,10.08,49.62
2,9.89,59.14,3,9.85,59.27,1,10.08,59.13,5,9.94,59.42,4,9.92,59.31,6,9.90,59.52
1,9.73,1:08.87,3,9.82,1:09.09,2,9.82,1:08.95,4,9.97,1:09.39,6,17.60,1:16.91,5,9.89,1:09.41
2,9.98,1:18.85,3,9.90,1:18.99,1,9.78,1:18.73,5,10.00,1:19.39,6,14.64,1:31.55,4,9.70,1:19.11
1,9.80,1:28.65,3,9.84,1:28.83,2,9.95,1:28.68,5,9.88,1:29.27,6,11.59,1:43.14,4,9.83,1:28.94
1,9.62,1:38.27,3,9.63,1:38.46,2,9.68,1:38.36,5,10.25,1:39.52,6,11.72,1:54.86,4,9.63,1:38.57
1,9.57,1:47.84,3,9.57,1:48.03,2,9.51,1:47.87,5,10.79,1:50.31,6,12.38,2:07.24,4,9.52,1:48.09
4,10.00,1:57.84,1,9.40,1:57.43,3,9.68,1:57.55,5,11.52,2:01.83,6,12.44,2:19.68,2,9.43,1:57.52
4,9.77,2:07.61,1,9.52,2:06.95,3,9.69,2:07.24,5,11.96,2:13.79,6,11.92,2:31.60,2,9.52,2:07.04
3,10.36,2:17.968,1,9.65,2:16.597,0,,DQ,4,12.25,2:26.035,5,12.03,2:43.622,2,9.60,2:16.635
