Lachlan HAY POSITION,Lachlan HAY LAP TIME,Lachlan HAY ELAPSED TIME,WANG Hong Yang POSITION,WANG Hong Yang LAP TIME,WANG Hong Yang ELAPSED TIME,Adam FILIPOWICZ POSITION,Adam FILIPOWICZ LAP TIME,Adam FILIPOWICZ ELAPSED TIME,Jeff SIMON POSITION,Jeff SIMON LAP TIME,Jeff SIMON ELAPSED TIME,Anthony DOUGLAS POSITION,Anthony DOUGLAS LAP TIME,Anthony DOUGLAS ELAPSED TIME,Nicolas BEAN POSITION,Nicolas BEAN LAP TIME,Nicolas BEAN ELAPSED TIME
3,8.64,8.64,6,20.92,20.92,4,8.77,8.77,2,8.57,8.57,5,20.29,20.29,1,8.44,8.44
3,12.00,20.64,0,,,4,11.90,20.68,2,11.98,20.55,0,,,1,11.95,20.40
5,11.80,32.45,6,0.00,32.61,4,11.74,32.42,3,11.71,32.27,1,0.00,32.00,2,11.80,32.20
4,11.74,44.19,6,11.98,44.59,5,12.06,44.49,3,11.92,44.19,1,12.09,44.09,2,11.94,44.14
5,11.63,55.83,1,10.86,55.46,6,11.41,55.90,4,11.52,55.72,2,11.37,55.47,3,11.56,55.70
5,10.21,1:06.04,1,10.27,1:05.73,6,10.19,1:06.10,3,10.13,1:05.85,2,10.30,1:05.77,4,10.19,1:05.90
4,10.30,1:16.34,1,10.38,1:16.11,6,10.33,1:16.43,3,10.37,1:16.23,2,10.38,1:16.15,5,10.43,1:16.34
6,35.16,1:51.50,1,9.94,1:26.05,4,9.89,1:26.33,3,10.06,1:26.30,5,32.83,1:48.99,2,9.89,1:26.23
5,18.15,2:09.66,1,9.92,1:35.98,4,9.97,1:36.30,3,9.81,1:36.11,6,21.86,2:10.85,2,9.86,1:36.10
5,14.31,2:23.98,1,10.05,1:46.03,4,10.12,1:46.42,2,10.04,1:46.16,6,16.18,2:27.04,3,10.14,1:46.25
5,12.25,2:36.23,3,10.09,1:56.13,4,10.21,1:56.64,2,9.62,1:55.79,6,13.96,2:41.01,1,9.47,1:55.72
5,11.57,2:47.81,3,9.22,2:05.35,4,10.48,2:07.13,1,9.18,2:04.97,6,12.58,2:53.59,2,9.45,2:05.17
5,11.33,2:59.14,3,9.32,2:14.67,4,10.77,2:17.91,1,9.41,2:14.38,6,12.17,3:05.77,2,9.38,2:14.55
0,,DQ,2,9.87,2:24.539,3,11.14,2:29.043,1,9.80,2:24.171,4,12.95,3:18.715,0,,DQ
