MOODY Jonathan POSITION,MOODY Jonathan LAP TIME,MOODY Jonathan ELAPSED TIME,HANDEI Oleh POSITION,HANDEI Oleh LAP TIME,HANDEI Oleh ELAPSED TIME,TRAN Aaron POSITION,TRAN Aaron LAP TIME,TRAN Aaron ELAPSED TIME,MIGUNOV Dmitry POSITION,MIGUNOV Dmitry LAP TIME,MIGUNOV Dmitry ELAPSED TIME,PARK Ji Won POSITION,PARK Ji Won LAP TIME,PARK Ji Won ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,SHAMUKHANOV Yerkebulan POSITION,SHAMUKHANOV Yerkebulan LAP TIME,SHAMUKHANOV Yerkebulan ELAPSED TIME
2,11.06,11.06,3,11.22,11.22,1,10.91,10.91,5,11.59,11.59,6,11.78,11.78,7,11.95,11.95,4,11.42,11.42
2,14.42,25.48,3,14.39,25.61,1,14.49,25.40,5,14.17,25.76,7,14.21,25.99,4,13.70,25.65,6,14.40,25.82
1,11.67,37.15,5,11.99,37.60,4,12.07,37.47,3,11.58,37.34,7,11.90,37.89,2,11.59,37.24,6,11.95,37.77
1,11.35,48.50,6,11.38,48.98,5,11.37,48.84,4,11.37,48.71,7,11.21,49.10,3,11.27,48.51,1,10.73,48.50
4,10.29,58.79,7,10.06,59.04,6,10.07,58.91,5,10.17,58.88,1,9.51,58.61,2,10.15,58.66,3,10.22,58.72
2,9.67,1:08.46,7,9.83,1:08.87,6,9.87,1:08.78,5,9.80,1:08.68,1,9.69,1:08.30,3,9.83,1:08.49,4,9.89,1:08.61
1,9.40,1:17.86,6,9.44,1:18.31,7,9.61,1:18.39,4,9.50,1:18.18,2,9.72,1:18.02,3,9.63,1:18.12,5,9.63,1:18.24
3,9.82,1:27.68,6,9.74,1:28.05,7,9.77,1:28.16,4,9.63,1:27.81,1,9.54,1:27.56,2,9.53,1:27.65,5,9.73,1:27.97
7,9.81,1:37.49,4,9.26,1:37.31,6,9.27,1:37.43,3,9.39,1:37.20,1,9.46,1:37.02,2,9.47,1:37.12,5,9.45,1:37.42
7,9.38,1:46.87,5,9.28,1:46.59,4,9.10,1:46.53,3,9.30,1:46.50,1,9.32,1:46.34,2,9.31,1:46.43,6,9.35,1:46.77
7,9.10,1:55.97,4,9.07,1:55.66,5,9.24,1:55.77,3,9.06,1:55.56,1,9.03,1:55.37,2,9.04,1:55.47,6,9.03,1:55.80
7,9.24,2:05.21,4,9.08,2:04.74,5,9.03,2:04.80,3,9.04,2:04.60,1,8.98,2:04.35,2,8.99,2:04.46,6,9.14,2:04.94
7,9.63,2:14.84,5,9.08,2:13.82,4,8.96,2:13.76,3,8.89,2:13.49,1,8.78,2:13.13,2,8.80,2:13.26,6,8.98,2:13.92
7,10.22,2:25.06,6,9.21,2:23.03,4,8.87,2:22.63,3,9.09,2:22.58,1,8.86,2:21.99,2,8.80,2:22.06,5,9.01,2:22.93
