MANOILOVA Katrin POSITION,MANOILOVA Katrin LAP TIME,MANOILOVA Katrin ELAPSED TIME,KIKUCHI Yuki POSITION,KIKUCHI Yuki LAP TIME,KIKUCHI Yuki ELAPSED TIME,van RUIJVEN Lara POSITION,van RUIJVEN Lara LAP TIME,van RUIJVEN Lara ELAPSED TIME,Patrycja MALISZEWSKA POSITION,Patrycja MALISZEWSKA LAP TIME,Patrycja MALISZEWSKA ELAPSED TIME
2,14.63,14.63,3,14.73,14.73,4,14.77,14.77,1,14.48,14.48
4,10.68,25.31,2,10.54,25.27,3,10.54,25.31,1,10.71,25.19
2,9.80,35.11,4,10.02,35.29,3,9.87,35.18,1,9.82,35.01
3,10.27,45.38,4,10.24,45.53,2,10.10,45.28,1,10.16,45.17
2,9.80,55.18,4,9.89,55.42,3,9.93,55.21,1,9.96,55.13
2,9.97,1:05.15,4,9.94,1:05.36,3,10.05,1:05.26,1,9.91,1:05.04
3,9.69,1:14.84,4,9.68,1:15.04,2,9.57,1:14.83,1,9.67,1:14.71
4,10.59,1:25.43,3,9.83,1:24.87,2,9.97,1:24.80,1,9.76,1:24.47
0,,PEN,3,10.27,1:35.140,2,10.03,1:34.827,1,10.15,1:34.613
