MANOILOVA Katrin POSITION,MANOILOVA Katrin LAP TIME,MANOILOVA Katrin ELAPSED TIME,LIN Yu-Tzu POSITION,LIN Yu-Tzu LAP TIME,LIN Yu-Tzu ELAPSED TIME,Lexi BURKHOLDER POSITION,Lexi BURKHOLDER LAP TIME,Lexi BURKHOLDER ELAPSED TIME,Audrey PHANEUF POSITION,Audrey PHANEUF LAP TIME,Audrey PHANEUF ELAPSED TIME,HIRAI Ami POSITION,HIRAI Ami LAP TIME,HIRAI Ami ELAPSED TIME,Gloria MALFATTI POSITION,Gloria MALFATTI LAP TIME,Gloria MALFATTI ELAPSED TIME
4,12.48,12.48,1,12.19,12.19,6,12.83,12.83,5,12.70,12.70,3,12.47,12.47,2,12.44,12.44
4,14.31,26.79,1,14.11,26.30,6,14.29,27.12,5,14.25,26.95,3,14.11,26.58,2,13.96,26.40
4,13.90,40.69,1,13.94,40.24,6,13.88,41.00,5,13.92,40.87,3,13.94,40.52,2,13.95,40.35
4,14.15,54.84,1,14.10,54.34,6,14.18,55.18,5,14.16,55.03,3,14.17,54.69,2,14.13,54.48
3,13.10,1:07.94,2,13.53,1:07.87,1,12.53,1:07.71,6,13.15,1:08.18,4,13.25,1:07.94,5,13.47,1:07.95
3,11.40,1:19.34,6,11.90,1:19.77,5,11.80,1:19.51,1,10.99,1:19.17,2,11.26,1:19.20,4,11.45,1:19.40
3,11.10,1:30.44,6,10.96,1:30.73,4,10.98,1:30.49,1,11.07,1:30.24,2,11.15,1:30.35,5,11.11,1:30.51
4,10.82,1:41.26,6,10.88,1:41.61,1,10.36,1:40.85,2,10.73,1:40.97,3,10.77,1:41.12,5,10.83,1:41.34
4,10.47,1:51.73,6,10.79,1:52.40,1,10.70,1:51.55,2,10.60,1:51.57,3,10.57,1:51.69,5,10.53,1:51.87
4,10.69,2:02.42,5,11.18,2:03.58,2,10.13,2:01.68,1,9.91,2:01.48,6,20.71,2:12.40,3,10.43,2:02.30
3,10.16,2:12.58,5,11.57,2:15.15,2,10.15,2:11.83,1,10.02,2:11.50,6,13.91,2:26.31,4,10.60,2:12.90
3,10.09,2:22.67,5,11.92,2:27.07,2,10.39,2:22.22,1,10.36,2:21.86,6,12.73,2:39.04,4,10.92,2:23.82
3,10.34,2:33.01,5,12.27,2:39.34,2,10.74,2:32.96,1,10.55,2:32.41,6,11.71,2:50.75,4,11.41,2:35.23
2,11.18,2:44.188,5,12.40,2:51.732,3,11.41,2:44.370,1,10.65,2:43.051,6,12.06,3:02.809,4,12.20,2:47.429
