Nicola FRANCESCHINA POSITION,Nicola FRANCESCHINA LAP TIME,Nicola FRANCESCHINA ELAPSED TIME,Matthieu de BOISSET POSITION,Matthieu de BOISSET LAP TIME,Matthieu de BOISSET ELAPSED TIME,LI Ye POSITION,LI Ye LAP TIME,LI Ye ELAPSED TIME,LEE Seung-Jae POSITION,LEE Seung-Jae LAP TIME,LEE Seung-Jae ELAPSED TIME
1,6.671,6.671,3,6.840,6.840,2,6.765,6.765,4,6.968,6.968
4,9.660,16.331,3,9.244,16.084,1,9.033,15.797,2,8.944,15.911
4,9.836,26.167,3,8.869,24.953,2,8.783,24.580,1,8.577,24.487
3,7.293,33.459,4,9.005,33.957,2,8.824,33.404,1,8.898,33.385
0,,DQ,3,9.17,43.126,1,9.05,42.449,2,9.59,42.969
