Remi BEAULIEU POSITION,Remi BEAULIEU LAP TIME,Remi BEAULIEU ELAPSED TIME,Yuzo TAKAMIDO POSITION,Yuzo TAKAMIDO LAP TIME,Yuzo TAKAMIDO ELAPSED TIME,Kyle CARR POSITION,Kyle CARR LAP TIME,Kyle CARR ELAPSED TIME,CHEN Dequan POSITION,CHEN Dequan LAP TIME,CHEN Dequan ELAPSED TIME,Charle COURNOYER POSITION,Charle COURNOYER LAP TIME,Charle COURNOYER ELAPSED TIME
3,8.34,8.34,2,8.24,8.24,4,8.50,8.50,1,8.11,8.11,5,8.65,8.65
1,12.20,20.54,3,12.49,20.73,4,12.42,20.92,2,12.48,20.59,5,12.38,21.03
1,11.46,32.00,2,11.35,32.08,4,11.43,32.35,3,11.59,32.18,5,11.45,32.48
3,10.72,42.72,1,10.54,42.62,4,10.60,42.95,2,10.51,42.69,5,10.59,43.07
3,10.44,53.16,1,10.31,52.93,4,10.33,53.28,2,10.37,53.06,5,10.29,53.36
3,10.32,1:03.48,2,10.40,1:03.33,4,10.30,1:03.58,1,10.14,1:03.20,5,10.35,1:03.71
3,9.87,1:13.35,1,9.75,1:13.08,4,9.89,1:13.47,2,10.03,1:13.23,5,9.76,1:13.47
3,9.53,1:22.88,1,9.61,1:22.69,5,9.52,1:22.99,2,9.57,1:22.80,4,9.50,1:22.97
3,9.54,1:32.42,1,9.48,1:32.17,5,9.59,1:32.58,2,9.49,1:32.29,4,9.55,1:32.52
3,9.33,1:41.75,1,9.35,1:41.52,5,9.35,1:41.93,2,9.34,1:41.63,4,9.31,1:41.83
3,9.12,1:50.87,1,9.13,1:50.65,5,9.17,1:51.10,2,9.15,1:50.78,4,9.16,1:50.99
4,9.08,1:59.95,1,9.01,1:59.66,5,8.96,2:00.06,2,8.97,1:59.75,3,8.87,1:59.86
4,8.99,2:08.94,1,9.00,2:08.66,5,8.93,2:08.99,2,9.01,2:08.76,3,8.96,2:08.82
5,9.50,2:18.439,1,9.09,2:17.746,4,8.99,2:17.973,2,9.05,2:17.803,3,9.10,2:17.915
