Marie YOSHIDA POSITION,Marie YOSHIDA LAP TIME,Marie YOSHIDA ELAPSED TIME,Szandra LAJTOS POSITION,Szandra LAJTOS LAP TIME,Szandra LAJTOS ELAPSED TIME,VIVIANI Elena POSITION,VIVIANI Elena LAP TIME,VIVIANI Elena ELAPSED TIME
3,13.87,13.87,1,13.67,13.67,2,13.79,13.79
1,10.74,24.61,2,11.04,24.71,3,10.92,24.71
1,10.72,35.33,3,10.78,35.49,2,10.75,35.46
3,17.17,52.50,2,11.01,46.50,1,10.92,46.38
3,10.92,1:03.42,2,11.02,57.52,1,11.06,57.44
3,10.59,1:14.01,2,10.92,1:08.44,1,10.90,1:08.34
3,11.10,1:25.11,2,11.15,1:19.59,1,11.14,1:19.48
3,11.53,1:36.64,1,11.27,1:30.86,2,11.47,1:30.95
2,11.86,1:48.493,0,,PEN,1,11.94,1:42.887
