Jean Charles MATTEI POSITION,Jean Charles MATTEI LAP TIME,Jean Charles MATTEI ELAPSED TIME,Tom IVESON POSITION,Tom IVESON LAP TIME,Tom IVESON ELAPSED TIME,J.R. CELSKI POSITION,J.R. CELSKI LAP TIME,J.R. CELSKI ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME
1,13.03,13.03,2,13.05,13.05,4,13.47,13.47,3,13.26,13.26
1,9.94,22.97,2,9.98,23.03,4,9.69,23.16,3,9.87,23.14
1,9.34,32.31,2,9.43,32.46,4,9.38,32.55,3,9.36,32.50
1,9.40,41.72,3,9.29,41.75,2,9.20,41.75,4,9.48,41.99
2,9.48,51.20,3,9.52,51.28,1,9.37,51.12,4,9.47,51.46
2,9.47,1:00.67,4,9.50,1:00.78,1,9.11,1:00.24,3,9.24,1:00.70
3,9.43,1:10.11,4,9.52,1:10.30,1,9.29,1:09.54,2,9.28,1:09.99
3,9.58,1:19.69,4,9.75,1:20.06,1,9.40,1:18.94,2,9.58,1:19.57
3,10.04,1:29.729,4,10.29,1:30.347,1,9.88,1:28.811,2,10.04,1:29.609
