Paul WORTH POSITION,Paul WORTH LAP TIME,Paul WORTH ELAPSED TIME,Sergey PRANKEVICH POSITION,Sergey PRANKEVICH LAP TIME,Sergey PRANKEVICH ELAPSED TIME,SAULITIS Jekabs POSITION,SAULITIS Jekabs LAP TIME,SAULITIS Jekabs ELAPSED TIME,Azamat SULTANALIYEV POSITION,Azamat SULTANALIYEV LAP TIME,Azamat SULTANALIYEV ELAPSED TIME
2,7.14,7.14,1,7.11,7.11,3,7.22,7.22,4,7.67,7.67
1,9.19,16.33,2,9.30,16.41,4,9.40,16.62,3,8.90,16.58
2,8.77,25.11,1,8.69,25.10,3,8.81,25.44,4,8.98,25.56
1,8.98,34.10,2,9.05,34.15,3,8.76,34.20,4,8.93,34.50
2,9.31,43.403,1,9.06,43.207,3,9.45,43.649,4,28.03,1:02.528
