Assen PANDOV POSITION,Assen PANDOV LAP TIME,Assen PANDOV ELAPSED TIME,Simon van VOSSEL POSITION,Simon van VOSSEL LAP TIME,Simon van VOSSEL ELAPSED TIME,Alex McEWAN POSITION,Alex McEWAN LAP TIME,Alex McEWAN ELAPSED TIME,AHN Hyun-Soo POSITION,AHN Hyun-Soo LAP TIME,AHN Hyun-Soo ELAPSED TIME,Tom IVESON POSITION,Tom IVESON LAP TIME,Tom IVESON ELAPSED TIME
2,11.045,11.045,3,11.156,11.156,4,11.388,11.388,5,11.759,11.759,1,10.909,10.909
2,16.769,27.814,3,16.748,27.904,4,16.641,28.029,5,16.640,28.399,1,16.767,27.675
2,15.606,43.420,3,15.540,43.444,4,15.656,43.685,5,15.545,43.943,1,15.712,43.386
2,16.064,59.484,4,16.228,59.671,3,15.932,59.616,5,15.922,59.865,1,15.928,59.314
3,15.710,1:15.193,2,15.510,1:15.180,4,15.653,1:15.269,5,15.436,1:15.301,1,15.773,1:15.087
3,11.073,1:26.265,5,11.454,1:26.634,4,11.137,1:26.406,1,10.213,1:25.513,2,10.666,1:25.753
5,10.113,1:36.378,3,9.583,1:36.217,4,9.822,1:36.228,1,9.564,1:35.076,2,9.946,1:35.698
4,9.706,1:46.084,5,10.956,1:47.172,2,9.323,1:45.550,1,9.634,1:44.710,3,10.025,1:45.723
3,9.174,1:55.258,5,8.368,1:55.539,4,9.969,1:55.518,1,9.538,1:54.247,2,9.300,1:55.022
2,9.064,2:04.322,3,9.041,2:04.580,5,9.413,2:04.931,1,9.685,2:03.931,4,9.775,2:04.797
2,9.544,2:13.865,3,9.742,2:14.322,4,9.419,2:14.350,1,9.717,2:13.648,5,10.448,2:15.244
3,9.802,2:23.666,5,10.396,2:24.717,4,9.502,2:23.851,1,9.693,2:23.341,2,8.245,2:23.488
3,10.272,2:33.938,4,9.952,2:34.669,2,9.949,2:33.799,1,9.679,2:33.020,5,26.832,2:50.320
4,10.88,2:44.809,3,9.93,2:44.598,2,10.57,2:44.362,1,10.54,2:43.560,0,,DQ
