ZHANG Hui POSITION,ZHANG Hui LAP TIME,ZHANG Hui ELAPSED TIME,Jorien ter MORS POSITION,Jorien ter MORS LAP TIME,Jorien ter MORS ELAPSED TIME,Katerina NOVOTNA POSITION,Katerina NOVOTNA LAP TIME,Katerina NOVOTNA ELAPSED TIME,Hitomi SAITO POSITION,Hitomi SAITO LAP TIME,Hitomi SAITO ELAPSED TIME
2,13.33,13.33,1,13.27,13.27,3,13.42,13.42,4,13.52,13.52
2,10.44,23.77,1,10.39,23.66,3,10.46,23.88,4,10.45,23.97
2,10.63,34.40,1,10.66,34.32,3,10.59,34.47,4,10.58,34.55
2,10.47,44.87,1,10.50,44.82,3,10.48,44.95,4,10.53,45.08
1,9.94,54.81,2,10.11,54.93,3,10.08,55.03,4,10.03,55.11
1,9.99,1:04.80,2,9.93,1:04.86,3,9.95,1:04.98,4,9.97,1:05.08
1,10.12,1:14.92,2,10.14,1:15.00,3,10.14,1:15.12,4,10.12,1:15.20
1,10.01,1:24.93,2,9.99,1:24.99,3,9.95,1:25.07,4,9.94,1:25.14
1,10.17,1:35.094,3,37.54,2:02.528,0,,PEN,2,10.49,1:35.629
