Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME,AZHGALIYEV Abzal POSITION,AZHGALIYEV Abzal LAP TIME,AZHGALIYEV Abzal ELAPSED TIME,Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME,HAN Tianyu POSITION,HAN Tianyu LAP TIME,HAN Tianyu ELAPSED TIME
1,6.80,6.80,2,6.89,6.89,3,7.02,7.02,4,7.14,7.14
2,8.82,15.62,1,8.61,15.50,3,8.69,15.71,4,8.66,15.80
4,32.65,48.27,1,8.25,23.75,2,8.16,23.87,3,8.15,23.95
4,14.89,1:03.16,1,8.39,32.14,2,8.34,32.21,3,8.28,32.23
4,12.60,1:15.764,1,8.60,40.741,3,9.02,41.257,2,8.63,40.854
