J.R. CELSKI POSITION,J.R. CELSKI LAP TIME,J.R. CELSKI ELAPSED TIME,Daniel ZETZSCHE POSITION,Daniel ZETZSCHE LAP TIME,Daniel ZETZSCHE ELAPSED TIME,Menderes EREN POSITION,Menderes EREN LAP TIME,Menderes EREN ELAPSED TIME,Mathias VOSTE POSITION,Mathias VOSTE LAP TIME,Mathias VOSTE ELAPSED TIME
1,13.14,13.14,3,13.42,13.42,4,13.60,13.60,2,13.23,13.23
1,10.20,23.34,3,10.13,23.55,4,10.16,23.76,2,10.20,23.43
1,10.19,33.53,3,10.22,33.77,4,10.15,33.91,2,10.19,33.62
1,9.90,43.43,3,9.88,43.65,4,9.91,43.82,2,9.90,43.52
1,9.63,53.06,3,9.61,53.26,4,9.57,53.39,2,9.64,53.16
1,9.42,1:02.48,3,9.39,1:02.65,4,9.44,1:02.83,2,9.40,1:02.56
2,9.49,1:11.97,3,9.41,1:12.06,4,9.59,1:12.42,1,9.33,1:11.89
1,9.49,1:21.46,3,9.65,1:21.71,4,9.80,1:22.22,2,9.75,1:21.64
1,9.64,1:31.096,3,9.77,1:31.481,4,9.98,1:32.193,2,9.78,1:31.420
