Katerina NOVOTNA POSITION,Katerina NOVOTNA LAP TIME,Katerina NOVOTNA ELAPSED TIME,Emily SCOTT POSITION,Emily SCOTT LAP TIME,Emily SCOTT ELAPSED TIME,Biba SAKURAI POSITION,Biba SAKURAI LAP TIME,Biba SAKURAI ELAPSED TIME,Marta WOJCIK POSITION,Marta WOJCIK LAP TIME,Marta WOJCIK ELAPSED TIME
1,13.25,13.25,3,13.49,13.49,2,13.38,13.38,4,13.59,13.59
1,10.39,23.64,3,10.36,23.85,2,10.37,23.75,4,10.36,23.95
1,10.18,33.82,3,10.18,34.03,2,10.18,33.93,4,10.17,34.12
1,10.13,43.95,3,10.09,44.12,2,10.10,44.03,4,10.06,44.18
1,9.97,53.92,3,9.91,54.03,2,9.90,53.93,4,9.98,54.16
3,9.85,1:03.77,2,9.65,1:03.68,1,9.67,1:03.60,4,9.66,1:03.82
3,9.77,1:13.54,2,9.61,1:13.29,1,9.60,1:13.20,4,9.88,1:13.70
3,9.77,1:23.31,2,9.74,1:23.03,1,9.78,1:22.98,4,9.91,1:23.61
3,9.89,1:33.198,1,9.77,1:32.792,2,10.10,1:32.980,4,10.37,1:33.976
