Mateusz KRZEMINSKI POSITION,Mateusz KRZEMINSKI LAP TIME,Mateusz KRZEMINSKI ELAPSED TIME,HANDEI Oleh POSITION,HANDEI Oleh LAP TIME,HANDEI Oleh ELAPSED TIME,Florian BECKER POSITION,Florian BECKER LAP TIME,Florian BECKER ELAPSED TIME,FAJKUS Radek POSITION,FAJKUS Radek LAP TIME,FAJKUS Radek ELAPSED TIME,HOOGERWERF Dylan POSITION,HOOGERWERF Dylan LAP TIME,HOOGERWERF Dylan ELAPSED TIME
1,6.92,6.92,2,7.02,7.02,5,7.32,7.32,3,7.19,7.19,4,7.27,7.27
1,8.97,15.89,2,8.97,15.99,5,9.21,16.53,4,9.12,16.31,3,8.83,16.10
1,8.53,24.42,2,8.59,24.58,5,8.72,25.25,4,8.56,24.87,3,8.50,24.60
2,8.79,33.21,3,8.65,33.23,5,8.81,34.06,4,8.68,33.55,1,8.58,33.18
3,9.18,42.398,2,8.98,42.219,4,9.07,43.138,5,22.34,55.891,1,8.77,41.95
