BACSKAI Sara Luca POSITION,BACSKAI Sara Luca LAP TIME,BACSKAI Sara Luca ELAPSED TIME,THOMSON Kathryn POSITION,THOMSON Kathryn LAP TIME,THOMSON Kathryn ELAPSED TIME,KIKUCHI Moemi POSITION,KIKUCHI Moemi LAP TIME,KIKUCHI Moemi ELAPSED TIME,Anita NAGAY POSITION,Anita NAGAY LAP TIME,Anita NAGAY ELAPSED TIME
2,7.74,7.74,1,7.50,7.50,3,7.95,7.95,4,8.04,8.04
2,9.69,17.43,1,9.86,17.36,3,9.82,17.77,4,9.83,17.87
2,9.17,26.60,1,9.21,26.57,3,9.26,27.03,4,9.29,27.16
2,9.52,36.12,1,9.42,35.99,3,9.38,36.41,4,9.38,36.54
0,,PHOTO,0,,PHOTO,3,9.57,45.970,4,9.60,46.129
