HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME,Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME,Ryosuke SAKAZUME POSITION,Ryosuke SAKAZUME LAP TIME,Ryosuke SAKAZUME ELAPSED TIME
1,6.81,6.81,3,6.94,6.94,2,6.92,6.92,4,7.19,7.19
1,8.78,15.59,3,8.94,15.88,2,8.77,15.69,4,8.85,16.04
1,8.23,23.82,3,8.28,24.16,2,8.25,23.94,4,8.45,24.49
1,8.34,32.16,3,8.48,32.64,2,8.30,32.24,4,27.87,52.36
2,8.54,40.694,3,8.71,41.342,1,8.37,40.601,4,13.52,1:05.879
