Charlotte GILMARTIN POSITION,Charlotte GILMARTIN LAP TIME,Charlotte GILMARTIN ELAPSED TIME,Emily SCOTT POSITION,Emily SCOTT LAP TIME,Emily SCOTT ELAPSED TIME,Christin PRIEBST POSITION,Christin PRIEBST LAP TIME,Christin PRIEBST ELAPSED TIME,Nina EVTEEVA POSITION,Nina EVTEEVA LAP TIME,Nina EVTEEVA ELAPSED TIME,Alex STANLEY POSITION,Alex STANLEY LAP TIME,Alex STANLEY ELAPSED TIME,Cecilia MAFFEI POSITION,Cecilia MAFFEI LAP TIME,Cecilia MAFFEI ELAPSED TIME
1,9.30,9.30,3,9.55,9.55,2,9.44,9.44,5,9.85,9.85,6,10.00,10.00,4,9.67,9.67
1,15.39,24.69,3,15.40,24.95,2,15.40,24.84,5,15.47,25.32,6,15.43,25.43,4,15.44,25.11
1,15.21,39.90,4,15.19,40.14,2,15.17,40.01,5,15.05,40.37,6,15.12,40.55,3,14.99,40.10
1,15.17,55.07,4,15.26,55.40,2,15.15,55.16,5,15.24,55.61,6,15.21,55.76,3,15.16,55.26
3,14.85,1:09.92,4,14.83,1:10.23,1,14.71,1:09.87,6,14.84,1:10.45,5,14.59,1:10.35,2,14.65,1:09.91
2,11.16,1:21.08,5,11.20,1:21.43,4,11.47,1:21.34,6,11.09,1:21.54,1,10.57,1:20.92,3,11.26,1:21.17
3,10.44,1:31.52,6,10.43,1:31.86,5,10.43,1:31.77,1,9.84,1:31.38,2,10.51,1:31.43,4,10.49,1:31.66
4,9.92,1:41.44,6,9.74,1:41.60,5,9.81,1:41.58,1,9.56,1:40.94,2,9.74,1:41.17,3,9.73,1:41.39
3,9.84,1:51.28,6,9.92,1:51.52,5,9.86,1:51.44,2,10.12,1:51.06,1,9.83,1:51.00,4,9.96,1:51.35
3,9.90,2:01.18,6,10.02,2:01.54,5,9.99,2:01.43,1,10.01,2:01.07,2,10.14,2:01.14,4,9.97,2:01.32
5,10.20,2:11.38,6,9.89,2:11.43,3,9.71,2:11.14,1,9.64,2:10.71,2,9.93,2:11.07,4,10.00,2:11.32
6,10.35,2:21.73,4,9.83,2:21.26,3,9.79,2:20.93,1,9.76,2:20.47,2,9.86,2:20.93,5,10.04,2:21.36
6,11.77,2:33.50,3,9.57,2:30.83,2,9.75,2:30.68,1,9.86,2:30.33,4,10.00,2:30.93,5,10.29,2:31.65
5,14.05,2:47.544,0,,PEN,2,9.88,2:40.559,1,10.07,2:40.395,3,10.30,2:41.223,4,10.54,2:42.186
