KWAK Yoon-Gy POSITION,KWAK Yoon-Gy LAP TIME,KWAK Yoon-Gy ELAPSED TIME,Serhiy LIFYRENKO POSITION,Serhiy LIFYRENKO LAP TIME,Serhiy LIFYRENKO ELAPSED TIME,Junji ITO POSITION,Junji ITO LAP TIME,Junji ITO ELAPSED TIME,Evgenii KOZULIN POSITION,Evgenii KOZULIN LAP TIME,Evgenii KOZULIN ELAPSED TIME
3,7.07,7.07,1,6.80,6.80,2,6.90,6.90,4,7.17,7.17
3,9.21,16.28,1,9.18,15.98,2,9.10,16.00,4,9.20,16.37
2,8.71,24.99,3,9.05,25.03,1,8.70,24.70,4,8.73,25.10
2,8.87,33.86,4,9.31,34.34,1,9.04,33.74,3,8.92,34.02
2,9.19,43.047,4,9.51,43.849,1,9.24,42.980,3,9.12,43.139
