Marie-Eve DROLET POSITION,Marie-Eve DROLET LAP TIME,Marie-Eve DROLET ELAPSED TIME,Nina EVTEEVA POSITION,Nina EVTEEVA LAP TIME,Nina EVTEEVA ELAPSED TIME,KIM Min-Jung POSITION,KIM Min-Jung LAP TIME,KIM Min-Jung ELAPSED TIME,VALCEPINA Arianna POSITION,VALCEPINA Arianna LAP TIME,VALCEPINA Arianna ELAPSED TIME,Deanna LOCKETT POSITION,Deanna LOCKETT LAP TIME,Deanna LOCKETT ELAPSED TIME
1,13.37,13.37,5,13.74,13.74,2,13.41,13.41,3,13.46,13.46,4,13.60,13.60
2,10.28,23.65,3,9.97,23.71,1,10.18,23.59,4,10.32,23.78,5,10.32,23.92
3,9.66,33.31,1,9.43,33.14,2,9.63,33.22,4,9.66,33.44,5,9.63,33.55
3,9.73,43.04,1,9.78,42.92,2,9.78,43.00,4,9.75,43.19,5,9.76,43.31
1,9.36,52.40,3,9.82,52.74,2,9.55,52.55,5,9.80,52.99,4,9.52,52.83
1,9.55,1:01.95,3,9.52,1:02.26,2,9.49,1:02.04,5,9.84,1:02.83,4,9.54,1:02.37
1,9.68,1:11.63,3,9.65,1:11.91,2,9.69,1:11.73,5,10.22,1:13.05,4,9.61,1:11.98
1,9.76,1:21.39,3,9.72,1:21.63,2,9.77,1:21.50,5,11.13,1:24.18,4,9.81,1:21.79
1,9.98,1:31.371,3,9.91,1:31.538,2,9.93,1:31.430,5,11.96,1:36.136,4,10.10,1:31.883
