Klaudio NASRI POSITION,Klaudio NASRI LAP TIME,Klaudio NASRI ELAPSED TIME,Vincent JEANNE POSITION,Vincent JEANNE LAP TIME,Vincent JEANNE ELAPSED TIME,Jacob JANSSON POSITION,Jacob JANSSON LAP TIME,Jacob JANSSON ELAPSED TIME,Oliver RINGER POSITION,Oliver RINGER LAP TIME,Oliver RINGER ELAPSED TIME,SCHUBERT Christoph POSITION,SCHUBERT Christoph LAP TIME,SCHUBERT Christoph ELAPSED TIME,Tomass BAKEVICS POSITION,Tomass BAKEVICS LAP TIME,Tomass BAKEVICS ELAPSED TIME
3,8.78,8.78,5,8.92,8.92,2,8.72,8.72,6,9.04,9.04,1,8.66,8.66,4,8.80,8.80
4,12.21,20.99,5,12.23,21.15,3,12.17,20.89,6,12.22,21.26,1,11.96,20.62,2,11.93,20.73
4,12.07,33.06,5,12.01,33.16,3,12.01,32.90,6,12.00,33.26,1,12.06,32.68,2,12.04,32.77
4,11.72,44.78,5,11.83,44.99,3,11.74,44.64,6,11.81,45.07,1,11.74,44.42,2,11.76,44.53
1,10.83,55.61,5,11.16,56.15,4,11.26,55.90,6,11.18,56.25,2,11.36,55.78,3,11.27,55.80
3,11.60,1:07.21,5,11.32,1:07.47,4,11.38,1:07.28,6,11.35,1:07.60,2,11.38,1:07.16,1,11.33,1:07.13
4,10.58,1:17.79,5,10.35,1:17.82,3,10.49,1:17.77,6,10.38,1:17.98,1,10.41,1:17.57,2,10.54,1:17.67
4,10.11,1:27.90,2,9.84,1:27.66,5,10.25,1:28.02,6,10.07,1:28.05,1,9.97,1:27.54,3,10.13,1:27.80
3,9.29,1:37.19,2,9.44,1:37.10,5,9.46,1:37.48,6,9.83,1:37.88,1,9.49,1:37.03,4,9.62,1:37.42
3,9.43,1:46.62,1,9.37,1:46.47,5,9.46,1:46.94,6,10.02,1:47.90,2,9.48,1:46.51,4,9.51,1:46.93
3,9.39,1:56.01,1,9.29,1:55.76,4,9.55,1:56.49,6,10.45,1:58.35,2,9.38,1:55.89,5,9.84,1:56.77
3,9.34,2:05.35,1,9.29,2:05.05,4,9.87,2:06.36,6,11.00,2:09.35,2,9.30,2:05.19,5,10.30,2:07.07
3,9.35,2:14.70,1,9.33,2:14.38,4,10.31,2:16.67,6,11.40,2:20.75,2,9.37,2:14.56,5,10.96,2:18.03
3,9.47,2:24.150,1,9.43,2:23.794,4,10.96,2:27.608,6,11.59,2:32.311,2,9.51,2:24.061,5,11.69,2:29.699
