Torsten KROEGER POSITION,Torsten KROEGER LAP TIME,Torsten KROEGER ELAPSED TIME,Kiril PANDOV POSITION,Kiril PANDOV LAP TIME,Kiril PANDOV ELAPSED TIME,Vladimir GRIGOREV POSITION,Vladimir GRIGOREV LAP TIME,Vladimir GRIGOREV ELAPSED TIME,Ryan BEDFORD POSITION,Ryan BEDFORD LAP TIME,Ryan BEDFORD ELAPSED TIME
2,7.15,7.15,1,6.97,6.97,4,7.41,7.41,3,7.23,7.23
2,9.20,16.35,1,9.26,16.23,4,9.18,16.59,3,9.20,16.43
2,8.82,25.17,1,8.85,25.08,4,8.77,25.36,3,8.83,25.26
3,9.04,34.21,2,8.98,34.06,4,8.96,34.32,1,8.77,34.03
4,9.24,43.449,2,9.16,43.215,3,8.92,43.233,1,8.91,42.935
