CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME,Veronika WINDISCH POSITION,Veronika WINDISCH LAP TIME,Veronika WINDISCH ELAPSED TIME,Paula BZURA POSITION,Paula BZURA LAP TIME,Paula BZURA ELAPSED TIME,Emily SCOTT POSITION,Emily SCOTT LAP TIME,Emily SCOTT ELAPSED TIME,Jessica KOOREMAN POSITION,Jessica KOOREMAN LAP TIME,Jessica KOOREMAN ELAPSED TIME,Katerina NOVOTNA POSITION,Katerina NOVOTNA LAP TIME,Katerina NOVOTNA ELAPSED TIME,Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME
4,9.07,9.07,2,8.86,8.86,5,9.19,9.19,1,8.72,8.72,7,9.41,9.41,3,8.98,8.98,6,9.24,9.24
5,12.53,21.60,2,12.43,21.29,6,12.53,21.72,1,12.47,21.19,7,12.45,21.86,4,12.48,21.46,3,12.14,21.38
5,11.91,33.51,2,11.83,33.12,6,11.91,33.63,1,11.80,32.99,7,11.91,33.77,4,11.88,33.34,3,11.82,33.20
5,11.81,45.32,1,11.65,44.77,6,11.78,45.41,2,11.86,44.85,7,11.77,45.54,4,11.80,45.14,3,11.77,44.97
7,11.50,56.82,1,11.47,56.24,4,11.13,56.54,2,11.48,56.33,6,11.13,56.67,5,11.53,56.67,3,11.47,56.44
7,10.80,1:07.62,2,10.85,1:07.09,5,10.78,1:07.32,4,10.86,1:07.19,1,10.32,1:06.99,6,10.81,1:07.48,3,10.73,1:07.17
2,10.22,1:17.84,3,10.80,1:17.89,7,11.02,1:18.34,5,11.03,1:18.22,1,10.70,1:17.69,6,10.77,1:18.25,4,10.90,1:18.07
2,10.23,1:28.07,3,10.26,1:28.15,7,10.47,1:28.81,6,10.06,1:28.28,1,10.28,1:27.97,5,10.02,1:28.27,4,10.10,1:28.17
3,10.35,1:38.42,4,10.35,1:38.50,6,10.05,1:38.86,7,10.59,1:38.87,1,10.19,1:38.16,5,10.41,1:38.68,2,10.07,1:38.24
3,10.21,1:48.63,4,10.23,1:48.73,6,10.05,1:48.91,7,10.15,1:49.02,1,10.26,1:48.42,5,10.15,1:48.83,2,10.26,1:48.50
3,10.36,1:58.99,4,10.37,1:59.10,6,10.36,1:59.27,7,10.37,1:59.39,1,10.37,1:58.79,5,10.32,1:59.15,2,10.38,1:58.88
1,9.85,2:08.84,4,9.95,2:09.05,6,10.11,2:09.38,7,10.08,2:09.47,3,10.15,2:08.94,5,10.11,2:09.26,2,10.03,2:08.91
1,9.78,2:18.62,4,9.96,2:19.01,6,9.96,2:19.34,7,9.93,2:19.40,3,9.98,2:18.92,5,9.94,2:19.20,2,9.90,2:18.81
1,9.84,2:28.458,4,9.95,2:28.952,6,9.93,2:29.270,7,10.01,2:29.407,3,9.93,2:28.843,5,9.99,2:29.190,2,10.10,2:28.810
