David DANNEEL POSITION,David DANNEEL LAP TIME,David DANNEEL ELAPSED TIME,Oliver RINGER POSITION,Oliver RINGER LAP TIME,Oliver RINGER ELAPSED TIME,Hazar KARAGOL POSITION,Hazar KARAGOL LAP TIME,Hazar KARAGOL ELAPSED TIME,Michal CUJA POSITION,Michal CUJA LAP TIME,Michal CUJA ELAPSED TIME
4,7.77,7.77,1,7.45,7.45,2,7.51,7.51,3,7.57,7.57
3,9.61,17.38,1,9.56,17.01,4,9.92,17.43,2,9.64,17.21
4,9.36,26.74,1,9.33,26.34,2,9.02,26.45,3,9.28,26.49
4,9.31,36.05,2,9.43,35.77,1,9.29,35.74,3,9.48,35.97
4,9.50,45.547,2,9.62,45.374,1,9.55,45.276,3,9.52,45.483
