Kim BOUTIN POSITION,Kim BOUTIN LAP TIME,Kim BOUTIN ELAPSED TIME,Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME,Tatiana BORODULINA POSITION,Tatiana BORODULINA LAP TIME,Tatiana BORODULINA ELAPSED TIME,NOH Do Hee POSITION,NOH Do Hee LAP TIME,NOH Do Hee ELAPSED TIME,Katherine RALSTON POSITION,Katherine RALSTON LAP TIME,Katherine RALSTON ELAPSED TIME,ZHOU Yang POSITION,ZHOU Yang LAP TIME,ZHOU Yang ELAPSED TIME
1,11.74,11.74,2,11.90,11.90,3,12.05,12.05,4,12.30,12.30,6,12.57,12.57,5,12.48,12.48
3,17.72,29.46,4,17.70,29.60,1,17.24,29.29,5,17.52,29.82,2,16.73,29.30,6,17.49,29.97
3,14.26,43.72,4,14.24,43.84,2,14.29,43.58,5,14.16,43.98,1,14.13,43.43,6,14.15,44.12
4,13.46,57.18,5,13.47,57.31,2,13.51,57.09,2,13.11,57.09,1,13.55,56.98,6,13.37,57.49
5,12.28,1:09.46,6,12.26,1:09.57,4,12.26,1:09.35,3,12.14,1:09.23,2,12.12,1:09.10,1,11.54,1:09.03
3,10.17,1:19.63,5,10.16,1:19.73,4,10.29,1:19.64,6,10.51,1:19.74,2,10.46,1:19.56,1,10.45,1:19.48
1,9.75,1:29.38,2,9.73,1:29.46,5,10.14,1:29.78,6,10.25,1:29.99,4,10.17,1:29.73,3,10.17,1:29.65
1,9.92,1:39.30,2,9.95,1:39.41,4,9.84,1:39.62,6,9.95,1:39.94,5,10.01,1:39.74,3,9.87,1:39.52
1,9.88,1:49.18,2,9.85,1:49.26,4,9.90,1:49.52,5,9.69,1:49.63,6,10.02,1:49.76,3,9.89,1:49.41
1,9.86,1:59.04,3,9.91,1:59.17,4,9.71,1:59.23,5,9.61,1:59.24,6,10.10,1:59.86,2,9.69,1:59.10
2,9.54,2:08.58,3,9.57,2:08.74,4,9.56,2:08.79,5,9.65,2:08.89,6,10.75,2:10.61,1,9.30,2:08.40
2,9.44,2:18.02,3,9.47,2:18.21,5,9.63,2:18.42,4,9.48,2:18.37,6,11.62,2:22.23,1,9.44,2:17.84
2,9.56,2:27.58,4,9.68,2:27.89,5,9.57,2:27.99,3,9.39,2:27.76,6,11.95,2:34.18,1,9.61,2:27.45
3,9.84,2:37.42,5,10.09,2:37.98,4,9.73,2:37.72,2,9.45,2:37.21,6,11.59,2:45.77,1,9.67,2:37.12
