Jessica HEWITT POSITION,Jessica HEWITT LAP TIME,Jessica HEWITT ELAPSED TIME,Nina EVTEEVA POSITION,Nina EVTEEVA LAP TIME,Nina EVTEEVA ELAPSED TIME,Katia ZINI POSITION,Katia ZINI LAP TIME,Katia ZINI ELAPSED TIME,Gergana PATSOVA POSITION,Gergana PATSOVA LAP TIME,Gergana PATSOVA ELAPSED TIME
1,13.54,13.54,2,13.58,13.58,3,13.65,13.65,4,13.96,13.96
1,10.04,23.58,2,10.02,23.61,3,10.01,23.67,4,10.01,23.98
2,10.39,33.98,1,10.35,33.97,3,10.41,34.08,4,10.38,34.36
1,10.26,44.25,2,10.31,44.28,3,10.38,44.46,4,10.23,44.60
1,9.68,53.93,3,10.03,54.32,2,9.82,54.29,4,9.85,54.45
1,9.86,1:03.80,2,9.70,1:04.02,3,9.76,1:04.06,4,9.81,1:04.27
2,9.86,1:13.67,4,9.81,1:13.84,3,9.65,1:13.71,1,9.32,1:13.60
2,9.90,1:23.57,1,9.65,1:23.50,3,9.98,1:23.69,4,10.39,1:23.99
2,10.17,1:33.731,1,10.05,1:33.550,3,10.17,1:33.860,4,10.13,1:34.112
