PETRE Ward POSITION,PETRE Ward LAP TIME,PETRE Ward ELAPSED TIME,Adam CALLISTER POSITION,Adam CALLISTER LAP TIME,Adam CALLISTER ELAPSED TIME,HEO Andrew POSITION,HEO Andrew LAP TIME,HEO Andrew ELAPSED TIME,de ROSE Ethan POSITION,de ROSE Ethan LAP TIME,de ROSE Ethan ELAPSED TIME
1,6.99,6.99,3,7.32,7.32,2,7.11,7.11,4,7.35,7.35
1,9.24,16.23,3,9.07,16.39,2,9.15,16.26,4,9.35,16.70
2,8.94,25.17,3,8.81,25.20,1,8.82,25.08,4,8.71,25.41
2,8.93,34.10,3,8.93,34.13,1,8.94,34.02,4,8.88,34.29
4,9.24,43.345,2,8.95,43.085,1,8.95,42.97,3,8.89,43.189
