Billy SIMMS POSITION,Billy SIMMS LAP TIME,Billy SIMMS ELAPSED TIME,SCHUBERT Christoph POSITION,SCHUBERT Christoph LAP TIME,SCHUBERT Christoph ELAPSED TIME,WU Dajing POSITION,WU Dajing LAP TIME,WU Dajing ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,Francois HAMELIN POSITION,Francois HAMELIN LAP TIME,Francois HAMELIN ELAPSED TIME,HWANG Dae Heon POSITION,HWANG Dae Heon LAP TIME,HWANG Dae Heon ELAPSED TIME
5,12.56,12.56,6,12.69,12.69,1,12.19,12.19,4,12.55,12.55,2,12.28,12.28,3,12.40,12.40
5,9.36,21.92,6,9.31,22.00,1,9.28,21.47,4,9.23,21.78,2,9.30,21.58,3,9.27,21.67
5,9.10,31.02,6,9.17,31.17,1,9.09,30.56,4,9.07,30.85,2,9.09,30.67,3,9.09,30.76
5,9.03,40.05,6,8.98,40.15,1,9.02,39.58,4,8.97,39.82,2,8.99,39.66,3,8.98,39.74
5,8.95,49.00,6,9.01,49.16,1,8.96,48.54,4,8.96,48.78,2,8.95,48.61,3,8.90,48.64
5,9.08,58.08,6,8.93,58.09,1,8.89,57.43,3,8.78,57.56,2,8.90,57.51,4,8.93,57.57
6,9.33,1:07.41,5,9.05,1:07.14,1,8.95,1:06.38,3,8.97,1:06.53,2,8.96,1:06.47,4,8.99,1:06.56
6,9.66,1:17.07,5,9.27,1:16.41,1,9.06,1:15.44,3,9.02,1:15.55,4,9.09,1:15.56,2,8.96,1:15.52
6,10.07,1:27.14,5,9.62,1:26.03,1,9.21,1:24.65,0,,PHOTO,4,9.39,1:24.95,0,,PHOTO
