Roberts ZVEJNIEKS POSITION,Roberts ZVEJNIEKS LAP TIME,Roberts ZVEJNIEKS ELAPSED TIME,Ievgen GUTENOV POSITION,Ievgen GUTENOV LAP TIME,Ievgen GUTENOV ELAPSED TIME,Victor AN POSITION,Victor AN LAP TIME,Victor AN ELAPSED TIME,YU Yongjun POSITION,YU Yongjun LAP TIME,YU Yongjun ELAPSED TIME,Emil IMRE POSITION,Emil IMRE LAP TIME,Emil IMRE ELAPSED TIME
3,12.44,12.44,4,12.50,12.50,5,12.85,12.85,1,12.01,12.01,2,12.18,12.18
4,13.72,26.16,1,13.34,25.84,5,13.88,26.73,2,14.09,26.10,3,13.97,26.15
3,11.95,38.11,1,12.15,37.99,5,11.91,38.64,4,12.17,38.27,2,11.93,38.08
1,12.21,50.32,3,12.57,50.56,5,12.19,50.83,4,12.43,50.70,2,12.36,50.44
1,12.66,1:02.98,2,12.43,1:02.99,5,12.65,1:03.48,4,12.60,1:03.30,3,12.65,1:03.09
2,11.48,1:14.46,1,11.45,1:14.44,5,11.33,1:14.81,3,11.24,1:14.54,4,11.49,1:14.58
3,10.48,1:24.94,2,10.47,1:24.91,5,10.61,1:25.42,1,10.30,1:24.84,4,10.44,1:25.02
2,10.07,1:35.01,3,10.23,1:35.14,5,10.15,1:35.57,1,9.93,1:34.77,4,10.20,1:35.22
2,9.69,1:44.70,3,9.67,1:44.81,5,9.62,1:45.19,1,9.80,1:44.57,4,9.67,1:44.89
2,9.81,1:54.51,3,9.76,1:54.57,5,9.62,1:54.81,1,9.65,1:54.22,4,9.78,1:54.67
4,9.84,2:04.35,3,9.76,2:04.33,2,9.23,2:04.04,1,9.51,2:03.73,5,9.80,2:04.47
4,10.17,2:14.52,3,9.81,2:14.14,1,9.05,2:13.09,2,9.56,2:13.29,5,10.08,2:14.55
5,10.94,2:25.46,3,10.22,2:24.36,1,9.30,2:22.39,2,9.52,2:22.81,4,9.90,2:24.45
0,,PEN,3,10.38,2:34.735,1,9.76,2:32.147,2,9.91,2:32.718,4,10.33,2:34.775
