CHOI Min Jeong POSITION,CHOI Min Jeong LAP TIME,CHOI Min Jeong ELAPSED TIME,SHIM Suk Hee POSITION,SHIM Suk Hee LAP TIME,SHIM Suk Hee ELAPSED TIME,de VRIES Rianne POSITION,de VRIES Rianne LAP TIME,de VRIES Rianne ELAPSED TIME,GUO Yihan POSITION,GUO Yihan LAP TIME,GUO Yihan ELAPSED TIME,CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME,ZANG Yize POSITION,ZANG Yize LAP TIME,ZANG Yize ELAPSED TIME
2,13.20,13.20,1,13.15,,3,13.25,13.25,5,13.58,13.58,4,13.41,13.41,6,13.69,13.69
1,10.10,23.30,2,10.28,,3,10.30,23.55,6,10.30,23.88,4,10.27,23.68,5,10.05,23.74
1,9.78,33.08,2,9.66,,3,9.67,33.22,6,9.59,33.47,4,9.64,33.32,5,9.66,33.40
2,9.76,42.84,1,9.65,,3,9.71,42.93,6,9.77,43.24,4,9.73,43.05,5,9.75,43.15
2,9.85,52.69,1,9.93,,3,9.90,52.83,6,9.92,53.16,4,9.90,52.95,5,9.90,53.05
1,9.44,1:02.13,2,9.61,,3,9.57,1:02.40,5,9.51,1:02.67,4,9.49,1:02.44,6,9.67,1:02.72
1,9.40,1:11.53,3,9.34,,4,9.43,1:11.83,5,9.30,1:11.97,2,9.16,1:11.60,6,9.94,1:12.66
3,9.65,1:21.18,2,9.26,,4,9.38,1:21.21,5,9.37,1:21.34,1,9.07,1:20.67,6,10.94,1:23.60
5,9.72,1:30.90,2,9.54,,3,9.38,1:30.59,4,9.39,1:30.73,1,9.32,1:29.99,5,11.72,1:35.299
