Anthony LOBELLO POSITION,Anthony LOBELLO LAP TIME,Anthony LOBELLO ELAPSED TIME,Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME,Jose CAVALLI POSITION,Jose CAVALLI LAP TIME,Jose CAVALLI ELAPSED TIME,Viacheslav KURGINIAN POSITION,Viacheslav KURGINIAN LAP TIME,Viacheslav KURGINIAN ELAPSED TIME,Torsten KROEGER POSITION,Torsten KROEGER LAP TIME,Torsten KROEGER ELAPSED TIME
1,7.06,7.06,3,7.30,7.30,2,7.12,7.12,4,7.34,7.34,5,7.44,7.44
1,9.32,16.38,3,9.31,16.61,2,9.47,16.59,4,9.33,16.67,5,9.47,16.91
2,8.99,25.37,1,8.73,25.34,4,9.07,25.66,3,8.84,25.51,5,8.83,25.74
2,9.20,34.57,1,9.00,34.34,5,12.15,37.81,4,9.35,34.86,3,8.92,34.66
2,9.32,43.887,1,9.08,43.419,5,12.27,50.071,4,10.14,44.992,3,9.32,43.977
