NOH Ah Rum POSITION,NOH Ah Rum LAP TIME,NOH Ah Rum ELAPSED TIME,Biba SAKURAI POSITION,Biba SAKURAI LAP TIME,Biba SAKURAI ELAPSED TIME,Ildiko SZEKELY POSITION,Ildiko SZEKELY LAP TIME,Ildiko SZEKELY ELAPSED TIME,Paula BZURA POSITION,Paula BZURA LAP TIME,Paula BZURA ELAPSED TIME,Alex STANLEY POSITION,Alex STANLEY LAP TIME,Alex STANLEY ELAPSED TIME
5,11.932,11.932,1,11.110,11.110,4,11.457,11.457,2,11.247,11.247,3,11.406,11.406
5,16.675,28.606,2,16.723,27.833,4,16.571,28.029,3,16.755,28.002,1,16.033,27.439
5,15.745,44.352,1,15.711,43.544,3,15.705,43.733,2,15.580,43.582,4,16.413,43.852
4,12.103,56.455,2,12.468,56.012,1,12.214,55.948,3,12.434,56.016,5,12.647,56.500
5,11.909,1:08.363,3,11.977,1:07.989,2,11.978,1:07.925,1,11.778,1:07.793,4,11.763,1:08.262
5,12.039,1:20.403,3,11.925,1:19.914,2,11.918,1:19.843,1,11.895,1:19.689,4,11.842,1:20.104
5,11.888,1:32.291,3,12.041,1:31.955,1,11.921,1:31.765,2,12.108,1:31.796,4,12.062,1:32.166
5,11.906,1:44.196,1,11.772,1:43.726,3,12.148,1:43.912,2,11.932,1:43.728,4,11.826,1:43.992
4,10.441,1:54.638,1,10.357,1:54.083,5,11.570,1:55.483,2,10.532,1:54.260,3,10.452,1:54.444
4,10.316,2:04.954,1,10.296,2:04.379,5,11.591,2:07.074,2,10.321,2:04.581,3,10.390,2:04.834
4,10.386,2:15.339,1,10.314,2:14.693,5,11.948,2:19.022,2,10.243,2:14.823,3,10.070,2:14.904
3,10.007,2:25.346,1,10.413,2:25.106,5,12.260,2:31.281,2,10.377,2:25.200,4,10.458,2:25.362
1,9.649,2:34.995,2,10.108,2:35.214,5,12.973,2:44.254,4,10.319,2:35.519,3,9.919,2:35.281
1,10.068,2:45.064,2,10.306,2:45.520,5,13.865,2:58.120,3,10.750,2:46.268,4,11.381,2:46.662
