Blake SKJELLERUP POSITION,Blake SKJELLERUP LAP TIME,Blake SKJELLERUP ELAPSED TIME,SUI Bao Ku POSITION,SUI Bao Ku LAP TIME,SUI Bao Ku ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,Asen YORDANOV POSITION,Asen YORDANOV LAP TIME,Asen YORDANOV ELAPSED TIME
2,6.92,6.92,1,6.90,6.90,3,7.03,7.03,4,7.34,7.34
3,9.34,16.27,1,8.95,15.85,2,9.04,16.08,4,9.62,16.97
3,8.69,24.97,1,8.77,24.63,2,8.72,24.80,4,9.40,26.37
0,,,1,8.91,33.54,0,,,2,9.46,35.84
3,,9:59.993,1,9.41,42.950,0,,DQ,2,10.01,45.843
