Guillaume BLAIS DUFOUR POSITION,Guillaume BLAIS DUFOUR LAP TIME,Guillaume BLAIS DUFOUR ELAPSED TIME,NOH Jinkyu POSITION,NOH Jinkyu LAP TIME,NOH Jinkyu ELAPSED TIME,Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME,Davide VISCARDI POSITION,Davide VISCARDI LAP TIME,Davide VISCARDI ELAPSED TIME
1,12.85,12.85,3,13.11,13.11,4,13.24,13.24,2,13.00,13.00
1,10.31,23.16,2,10.11,23.22,4,10.16,23.40,3,10.28,23.28
2,10.10,33.26,1,9.85,33.07,4,10.11,33.51,3,10.11,33.39
2,8.61,41.87,1,8.70,41.77,4,8.59,42.10,3,8.58,41.97
2,9.20,51.07,1,9.19,50.96,4,9.18,51.28,3,9.22,51.19
2,9.10,1:00.17,1,9.11,1:00.07,3,9.02,1:00.30,4,9.68,1:00.87
2,9.17,1:09.34,1,9.16,1:09.23,3,9.20,1:09.50,4,9.69,1:10.56
2,9.14,1:18.48,1,9.05,1:18.28,3,9.09,1:18.59,4,9.95,1:20.51
2,9.20,1:27.677,1,9.24,1:27.515,3,9.21,1:27.796,4,10.71,1:31.212
