PARK Se Yeong POSITION,PARK Se Yeong LAP TIME,PARK Se Yeong ELAPSED TIME,Vladimir GRIGOREV POSITION,Vladimir GRIGOREV LAP TIME,Vladimir GRIGOREV ELAPSED TIME,Chris CREVELING POSITION,Chris CREVELING LAP TIME,Chris CREVELING ELAPSED TIME,Felix SPIEGL POSITION,Felix SPIEGL LAP TIME,Felix SPIEGL ELAPSED TIME,SONG Haochen POSITION,SONG Haochen LAP TIME,SONG Haochen ELAPSED TIME
1,13.28,13.28,2,13.38,13.38,3,13.47,13.47,4,13.60,13.60,5,13.71,13.71
2,10.79,24.07,3,10.79,24.17,4,10.76,24.23,5,10.75,24.35,1,10.25,23.96
2,9.74,33.81,4,9.73,33.90,3,9.64,33.87,5,9.66,34.01,1,9.75,33.71
3,9.42,43.23,4,9.43,43.33,2,9.19,43.06,5,9.42,43.43,1,9.31,43.02
3,8.98,52.21,4,8.99,52.32,1,8.94,52.00,5,9.01,52.44,2,9.07,52.09
3,9.14,1:01.35,4,9.12,1:01.44,1,9.09,1:01.09,5,9.11,1:01.55,2,9.09,1:01.18
3,8.96,1:10.31,4,8.96,1:10.40,1,9.03,1:10.12,5,8.97,1:10.52,2,9.02,1:10.20
1,8.96,1:19.27,4,9.01,1:19.41,1,9.15,1:19.27,5,8.99,1:19.51,3,9.19,1:19.39
1,8.95,1:28.203,2,9.10,1:28.481,3,9.50,1:28.756,5,9.52,1:29.007,4,9.52,1:28.892
