HUOT MARCHAND Tifany POSITION,HUOT MARCHAND Tifany LAP TIME,HUOT MARCHAND Tifany ELAPSED TIME,BINEY Maame POSITION,BINEY Maame LAP TIME,BINEY Maame ELAPSED TIME,CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME,ZHOU Yang POSITION,ZHOU Yang LAP TIME,ZHOU Yang ELAPSED TIME,WALTER Bianca POSITION,WALTER Bianca LAP TIME,WALTER Bianca ELAPSED TIME,Valerie MALTAIS POSITION,Valerie MALTAIS LAP TIME,Valerie MALTAIS ELAPSED TIME
6,10.67,10.67,5,10.45,10.45,3,10.27,10.27,2,10.08,10.08,4,10.41,10.41,1,9.91,9.91
6,14.32,24.99,5,14.31,24.76,3,14.17,24.44,2,14.20,24.28,4,14.20,24.61,1,14.21,24.12
6,13.70,38.69,5,13.78,38.54,3,13.81,38.25,2,13.82,38.10,4,13.77,38.38,1,13.83,37.95
6,13.01,51.70,4,12.87,51.41,3,13.15,51.40,2,13.16,51.26,5,13.12,51.50,1,13.16,51.11
6,11.53,1:03.23,1,11.14,1:02.55,4,11.58,1:02.98,3,11.63,1:02.89,5,11.58,1:03.08,2,11.62,1:02.73
6,10.75,1:13.98,1,10.98,1:13.53,5,10.83,1:13.81,2,10.68,1:13.57,4,10.58,1:13.66,3,10.92,1:13.65
6,9.63,1:23.61,3,9.77,1:23.30,5,9.72,1:23.53,1,9.53,1:23.10,2,9.52,1:23.18,4,9.78,1:23.43
6,10.11,1:33.72,3,10.04,1:33.34,5,10.07,1:33.60,1,10.00,1:33.10,2,10.04,1:33.22,4,10.07,1:33.50
6,9.86,1:43.58,4,9.95,1:43.29,5,9.87,1:43.47,1,9.90,1:43.00,2,9.93,1:43.15,3,9.69,1:43.19
6,9.21,1:52.79,4,9.33,1:52.62,4,9.15,1:52.62,1,9.18,1:52.18,3,9.24,1:52.39,2,9.13,1:52.32
6,9.29,2:02.08,5,9.43,2:02.05,4,9.23,2:01.85,1,9.27,2:01.45,3,9.31,2:01.70,2,9.25,2:01.57
5,9.17,2:11.25,6,9.57,2:11.62,3,9.12,2:10.97,1,9.40,2:10.85,4,9.50,2:11.20,2,9.38,2:10.95
4,9.33,2:20.58,6,9.89,2:21.51,1,9.04,2:20.01,2,9.32,2:20.17,5,9.68,2:20.88,3,9.40,2:20.35
4,9.41,2:29.996,6,10.30,2:31.819,1,9.30,2:29.31,2,9.41,2:29.58,5,9.93,2:30.819,3,9.52,2:29.87
