SHULGINOV Alexander POSITION,SHULGINOV Alexander LAP TIME,SHULGINOV Alexander ELAPSED TIME,Csaba BURJAN POSITION,Csaba BURJAN LAP TIME,Csaba BURJAN ELAPSED TIME,Yauheni RYZHOU POSITION,Yauheni RYZHOU LAP TIME,Yauheni RYZHOU ELAPSED TIME,HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME
1,6.81,6.81,2,6.93,6.93,4,7.09,7.09,3,7.04,7.04
1,8.76,15.57,2,8.76,15.69,4,8.90,15.99,3,8.76,15.80
1,8.39,23.96,2,8.40,24.09,4,8.49,24.48,3,8.34,24.14
1,8.62,32.58,2,8.54,32.63,4,8.72,33.20,3,8.83,32.97
4,28.20,1:00.78,1,8.58,41.21,3,8.96,42.16,2,8.95,41.92
