Daisuke UEMURA POSITION,Daisuke UEMURA LAP TIME,Daisuke UEMURA ELAPSED TIME,AZHGALIYEV Abzal POSITION,AZHGALIYEV Abzal LAP TIME,AZHGALIYEV Abzal ELAPSED TIME,HAN Tianyu POSITION,HAN Tianyu LAP TIME,HAN Tianyu ELAPSED TIME,Dmytro POLTAVETS POSITION,Dmytro POLTAVETS LAP TIME,Dmytro POLTAVETS ELAPSED TIME,Vincent JEANNE POSITION,Vincent JEANNE LAP TIME,Vincent JEANNE ELAPSED TIME,Ievgen GUTENOV POSITION,Ievgen GUTENOV LAP TIME,Ievgen GUTENOV ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME
2,9.01,9.01,3,9.16,9.16,4,9.35,9.35,1,8.86,8.86,5,9.41,9.41,6,9.53,9.53,7,9.74,9.74
2,11.78,20.79,3,11.73,20.89,5,11.66,21.01,1,11.77,20.63,4,11.55,20.96,6,11.79,21.32,7,11.73,21.47
2,10.06,30.85,4,10.15,31.04,5,10.11,31.12,1,10.14,30.77,3,9.95,30.91,6,9.93,31.25,7,9.97,31.44
2,10.49,41.34,5,10.51,41.55,6,10.45,41.57,3,10.57,41.34,4,10.51,41.42,7,10.56,41.81,1,9.84,41.28
3,9.95,51.29,6,10.03,51.58,1,9.51,51.08,5,10.05,51.39,4,9.96,51.38,7,9.85,51.66,2,9.97,51.25
3,10.05,1:01.34,7,10.05,1:01.63,2,10.16,1:01.24,6,10.21,1:01.60,5,10.06,1:01.44,4,9.70,1:01.36,1,9.98,1:01.23
4,10.00,1:11.34,7,10.05,1:11.68,3,10.01,1:11.25,6,9.90,1:11.50,5,9.97,1:11.41,2,9.79,1:11.15,1,9.79,1:11.02
4,9.86,1:21.20,7,9.99,1:21.67,3,9.85,1:21.10,5,9.88,1:21.38,6,10.01,1:21.42,2,9.82,1:20.97,1,9.84,1:20.86
4,9.68,1:30.88,7,9.64,1:31.31,3,9.69,1:30.79,5,9.68,1:31.06,6,9.73,1:31.15,2,9.68,1:30.65,1,9.67,1:30.53
4,9.48,1:40.36,6,9.41,1:40.72,2,9.46,1:40.25,7,9.90,1:40.96,5,9.44,1:40.59,3,9.62,1:40.27,1,9.45,1:39.98
3,9.31,1:49.67,6,9.59,1:50.31,2,9.23,1:49.48,7,10.23,1:51.19,5,9.63,1:50.22,4,9.91,1:50.18,1,9.31,1:49.29
3,9.15,1:58.82,4,9.69,2:00.00,2,9.14,1:58.62,7,10.77,2:01.96,5,9.96,2:00.18,6,10.25,2:00.43,1,9.20,1:58.49
3,9.13,2:07.95,4,9.58,2:09.58,2,9.07,2:07.69,7,11.16,2:13.12,5,10.42,2:10.60,6,10.97,2:11.40,1,9.10,2:07.59
3,9.37,2:17.314,4,10.40,2:19.974,1,9.11,2:16.795,7,11.74,2:24.852,5,10.93,2:21.522,6,11.67,2:23.063,2,9.31,2:16.895
