Tom IVESON POSITION,Tom IVESON LAP TIME,Tom IVESON ELAPSED TIME,SUI Bao Ku POSITION,SUI Bao Ku LAP TIME,SUI Bao Ku ELAPSED TIME,HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,Maxime CHATAIGNIER POSITION,Maxime CHATAIGNIER LAP TIME,Maxime CHATAIGNIER ELAPSED TIME
1,12.223,12.223,4,12.663,12.663,2,12.465,12.465,3,12.540,12.540
1,9.536,21.759,4,9.381,22.044,2,9.507,21.972,3,9.440,21.981
1,9.016,30.775,4,9.256,31.300,2,8.864,30.836,3,9.099,31.080
2,9.157,39.932,1,8.498,39.798,3,9.236,40.072,4,9.017,40.097
1,9.154,49.086,4,9.708,49.505,2,9.105,49.177,3,9.167,49.264
2,9.403,58.489,4,9.230,58.736,1,9.305,58.481,3,9.364,58.628
1,9.086,1:07.575,3,8.905,1:07.641,2,9.159,1:07.640,4,9.265,1:07.893
2,9.051,1:16.626,3,9.185,1:16.826,1,8.772,1:16.412,4,9.084,1:16.976
2,9.354,1:25.980,3,9.189,1:26.014,1,9.173,1:25.585,4,9.058,1:26.034
