TRAN Aaron POSITION,TRAN Aaron LAP TIME,TRAN Aaron ELAPSED TIME,BLUNDEN Keanu POSITION,BLUNDEN Keanu LAP TIME,BLUNDEN Keanu ELAPSED TIME,Alex VARNYU POSITION,Alex VARNYU LAP TIME,Alex VARNYU ELAPSED TIME,JUNG Hyun Woo (Andy) POSITION,JUNG Hyun Woo (Andy) LAP TIME,JUNG Hyun Woo (Andy) ELAPSED TIME,Triphop THONGNGAM POSITION,Triphop THONGNGAM LAP TIME,Triphop THONGNGAM ELAPSED TIME
5,14.76,14.76,2,14.49,14.49,3,14.57,14.57,4,14.61,14.61,1,14.29,14.29
1,10.13,24.89,3,10.56,25.05,2,10.36,24.93,4,10.53,25.14,5,10.86,25.15
1,10.20,35.09,3,10.24,35.29,2,10.26,35.19,4,10.26,35.40,5,10.38,35.53
1,10.11,45.20,3,10.11,45.40,2,10.11,45.30,4,10.12,45.52,5,10.11,45.64
1,9.78,54.98,2,9.69,55.09,3,9.92,55.22,4,9.80,55.32,5,9.79,55.43
1,9.42,1:04.40,2,9.40,1:04.49,3,9.35,1:04.57,4,9.27,1:04.59,5,9.36,1:04.79
1,9.31,1:13.71,2,9.35,1:13.84,5,9.54,1:14.11,3,9.33,1:13.92,4,9.29,1:14.08
1,8.87,1:22.58,2,8.90,1:22.74,4,8.89,1:23.00,3,8.94,1:22.86,5,9.10,1:23.18
1,8.92,1:31.50,2,8.86,1:31.606,4,8.80,1:31.801,3,8.86,1:31.723,5,9.11,1:32.295
