CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,HANDEI Oleh POSITION,HANDEI Oleh LAP TIME,HANDEI Oleh ELAPSED TIME,DESMET Stijn POSITION,DESMET Stijn LAP TIME,DESMET Stijn ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,DION Pascal POSITION,DION Pascal LAP TIME,DION Pascal ELAPSED TIME
5,7.41,7.41,1,6.95,6.95,3,7.10,7.10,4,7.28,7.28,2,7.02,7.02
5,8.99,16.40,2,9.10,16.05,3,9.03,16.13,4,8.99,16.27,1,8.94,15.96
5,8.45,24.85,3,8.65,24.70,2,8.44,24.57,4,8.45,24.72,1,8.48,24.44
4,8.49,33.34,5,8.78,33.48,2,8.48,33.05,3,8.50,33.22,1,8.47,32.91
3,8.65,42.002,5,8.67,42.167,2,8.78,41.836,4,8.80,42.030,1,8.75,41.672
