Dariusz KULESZA POSITION,Dariusz KULESZA LAP TIME,Dariusz KULESZA ELAPSED TIME,GAO Ming POSITION,GAO Ming LAP TIME,GAO Ming ELAPSED TIME,Anton SIMON POSITION,Anton SIMON LAP TIME,Anton SIMON ELAPSED TIME,Viacheslav KURGINIAN POSITION,Viacheslav KURGINIAN LAP TIME,Viacheslav KURGINIAN ELAPSED TIME
2,13.120,13.120,4,16.310,16.310,3,13.340,13.340,1,13.110,13.110
3,10.710,23.830,1,7.350,23.670,4,10.740,24.090,2,10.620,23.740
2,9.970,33.810,1,9.920,33.590,0,,,3,12.420,36.170
2,9.860,43.680,1,9.990,43.590,4,0.000,43.900,3,7.520,43.700
1,9.490,53.180,4,21.410,1:05.000,2,9.380,53.290,3,9.710,53.410
2,9.720,1:02.900,4,22.520,1:27.520,3,10.300,1:03.590,1,9.250,1:02.670
2,9.570,1:12.470,4,11.390,1:38.910,3,10.480,1:14.080,1,9.520,1:12.190
2,10.380,1:22.850,4,10.690,1:49.600,3,11.230,1:25.320,1,9.920,1:22.120
2,10.990,1:33.850,4,11.220,2:00.830,3,11.380,1:36.700,1,10.870,1:32.990
