Haralds SILOVS POSITION,Haralds SILOVS LAP TIME,Haralds SILOVS ELAPSED TIME,Olivier JEAN POSITION,Olivier JEAN LAP TIME,Olivier JEAN ELAPSED TIME,Fumihiko KAKUBARI POSITION,Fumihiko KAKUBARI LAP TIME,Fumihiko KAKUBARI ELAPSED TIME,Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME
1,8.72,8.72,3,8.95,8.95,5,9.42,9.42,2,8.86,8.86,4,9.21,9.21
4,12.60,21.32,5,12.63,21.58,2,11.70,21.12,3,12.44,21.30,1,11.79,21.00
1,10.98,32.30,5,11.22,32.80,3,11.51,32.63,4,11.41,32.71,2,11.42,32.42
3,10.65,42.95,5,10.65,43.45,4,10.55,43.18,1,10.14,42.85,2,10.49,42.91
4,10.24,53.19,5,9.99,53.44,1,9.87,53.05,2,10.24,53.09,3,10.19,53.10
3,9.82,1:03.01,5,9.80,1:03.24,1,9.71,1:02.76,2,9.89,1:02.98,4,10.10,1:03.20
3,9.82,1:12.83,5,9.63,1:12.87,2,9.93,1:12.69,4,9.88,1:12.86,1,9.45,1:12.65
3,9.50,1:22.33,1,9.34,1:22.21,4,9.69,1:22.38,5,9.66,1:22.52,2,9.66,1:22.31
1,9.11,1:31.44,2,9.51,1:31.72,5,9.73,1:32.11,4,9.56,1:32.08,3,9.46,1:31.77
1,9.38,1:40.82,2,9.28,1:41.00,5,9.32,1:41.43,4,9.30,1:41.38,3,9.33,1:41.10
1,9.33,1:50.15,2,9.31,1:50.31,5,9.30,1:50.73,4,9.27,1:50.65,3,9.36,1:50.46
1,9.27,1:59.42,2,9.29,1:59.60,5,9.25,1:59.98,4,9.18,1:59.83,3,9.19,1:59.65
2,9.42,2:08.84,1,9.15,2:08.75,4,9.22,2:09.20,3,9.32,2:09.15,5,9.62,2:09.27
2,9.68,2:18.516,1,9.70,2:18.445,4,9.66,2:18.854,3,9.41,2:18.558,5,9.59,2:18.857
