Audrey PHANEUF POSITION,Audrey PHANEUF LAP TIME,Audrey PHANEUF ELAPSED TIME,Melanie BRANTNER POSITION,Melanie BRANTNER LAP TIME,Melanie BRANTNER ELAPSED TIME,BOTTER GOMEZ Nicole POSITION,BOTTER GOMEZ Nicole LAP TIME,BOTTER GOMEZ Nicole ELAPSED TIME,TIKHONOVA Olga POSITION,TIKHONOVA Olga LAP TIME,TIKHONOVA Olga ELAPSED TIME,MALAGICH Emina POSITION,MALAGICH Emina LAP TIME,MALAGICH Emina ELAPSED TIME
4,15.60,15.60,5,15.63,15.63,3,15.41,15.41,2,15.39,15.39,1,15.31,15.31
5,12.15,27.75,4,11.98,27.61,3,12.17,27.58,1,11.93,27.32,2,12.15,27.46
1,10.43,38.18,5,11.37,38.98,4,11.10,38.68,3,11.18,38.50,2,11.01,38.47
1,10.32,48.50,5,10.77,49.75,4,10.13,48.81,3,10.19,48.69,2,10.12,48.59
1,10.01,58.51,5,10.86,1:00.61,4,10.04,58.85,3,10.01,58.70,2,10.00,58.59
1,9.59,1:08.10,5,11.25,1:11.86,4,9.65,1:08.50,3,9.62,1:08.32,2,9.60,1:08.19
1,9.55,1:17.65,5,11.21,1:23.07,4,9.72,1:18.22,3,9.59,1:17.91,2,9.55,1:17.74
1,9.67,1:27.32,5,11.55,1:34.62,4,9.97,1:28.19,3,9.69,1:27.60,2,9.66,1:27.40
1,9.83,1:37.142,5,12.09,1:46.703,4,10.38,1:38.570,3,9.92,1:37.518,2,9.81,1:37.209
