NOH Jinkyu POSITION,NOH Jinkyu LAP TIME,NOH Jinkyu ELAPSED TIME,Jeremy MASSON POSITION,Jeremy MASSON LAP TIME,Jeremy MASSON ELAPSED TIME,Francois-Louis TREMBLAY POSITION,Francois-Louis TREMBLAY LAP TIME,Francois-Louis TREMBLAY ELAPSED TIME,SONG Weilong POSITION,SONG Weilong LAP TIME,SONG Weilong ELAPSED TIME,Jordan MALONE POSITION,Jordan MALONE LAP TIME,Jordan MALONE ELAPSED TIME
3,13.59,13.59,4,13.78,13.78,2,13.44,13.44,1,13.32,13.32,5,13.93,13.93
3,10.29,23.88,4,10.26,24.04,2,10.31,23.75,1,10.31,23.63,5,10.29,24.22
3,9.84,33.72,5,9.85,33.89,2,9.79,33.54,1,9.91,33.54,4,9.64,33.86
4,9.46,43.18,5,9.41,43.30,1,9.36,42.90,3,9.44,42.98,2,9.12,42.98
3,9.18,52.36,5,9.31,52.61,1,9.29,52.19,2,9.31,52.29,4,9.45,52.43
2,8.89,1:01.25,5,9.08,1:01.69,3,9.09,1:01.28,1,8.95,1:01.24,4,9.16,1:01.59
1,8.78,1:10.03,4,9.09,1:10.78,5,10.05,1:11.33,2,9.14,1:10.38,3,9.08,1:10.67
1,9.03,1:19.06,4,9.21,1:19.99,5,10.79,1:22.12,2,9.11,1:19.49,3,9.18,1:19.85
1,9.69,1:28.744,4,9.42,1:29.407,5,12.08,1:34.195,2,9.38,1:28.869,3,9.53,1:29.375
