TENZER Robin POSITION,TENZER Robin LAP TIME,TENZER Robin ELAPSED TIME,BONTOVICS Balazs POSITION,BONTOVICS Balazs LAP TIME,BONTOVICS Balazs ELAPSED TIME,HAYASHI Ibuki POSITION,HAYASHI Ibuki LAP TIME,HAYASHI Ibuki ELAPSED TIME,NAVARRO Tristan POSITION,NAVARRO Tristan LAP TIME,NAVARRO Tristan ELAPSED TIME,WATANABE Keita POSITION,WATANABE Keita LAP TIME,WATANABE Keita ELAPSED TIME,MILOVANOV Sergei POSITION,MILOVANOV Sergei LAP TIME,MILOVANOV Sergei ELAPSED TIME,GOEMINNE Gert-Jan POSITION,GOEMINNE Gert-Jan LAP TIME,GOEMINNE Gert-Jan ELAPSED TIME
4,11.55,11.55,2,11.31,11.31,3,11.36,11.36,6,11.76,11.76,5,11.57,11.57,7,11.86,11.86,1,11.22,11.22
5,17.37,28.92,3,17.31,28.62,2,17.01,28.37,6,17.26,29.02,4,17.26,28.83,7,17.20,29.06,1,17.01,28.23
4,14.27,43.19,3,14.47,43.09,2,14.57,42.94,7,14.39,43.41,6,14.43,43.26,1,13.77,42.83,4,14.96,43.19
4,12.26,55.45,6,12.45,55.54,3,12.42,55.36,1,11.83,55.24,2,12.01,55.27,5,12.65,55.48,7,12.66,55.85
6,11.12,1:06.57,1,10.69,1:06.23,2,11.01,1:06.37,2,11.13,1:06.37,4,11.21,1:06.48,5,11.06,1:06.54,7,10.97,1:06.82
6,10.36,1:16.93,2,10.24,1:16.47,1,9.96,1:16.33,3,10.25,1:16.62,4,10.27,1:16.75,5,10.30,1:16.84,7,10.32,1:17.14
6,10.14,1:27.07,2,10.28,1:26.75,1,10.22,1:26.55,3,10.23,1:26.85,4,10.21,1:26.96,5,10.21,1:27.05,7,10.15,1:27.29
5,9.82,1:36.89,2,9.86,1:36.61,1,9.95,1:36.50,3,9.89,1:36.74,4,9.86,1:36.82,6,9.92,1:36.97,7,9.81,1:37.10
5,9.54,1:46.43,3,9.64,1:46.25,1,9.54,1:46.04,2,9.42,1:46.16,4,9.53,1:46.35,6,9.51,1:46.48,7,9.53,1:46.63
6,9.59,1:56.02,3,9.33,1:55.58,1,9.32,1:55.36,2,9.32,1:55.48,4,9.27,1:55.62,5,9.38,1:55.86,6,9.39,1:56.02
7,9.43,2:05.45,4,9.12,2:04.70,1,9.08,2:04.44,3,9.07,2:04.55,2,8.90,2:04.52,5,9.01,2:04.87,6,9.01,2:05.03
7,9.75,2:15.20,4,9.16,2:13.86,2,9.17,2:13.61,3,9.22,2:13.77,1,8.99,2:13.51,5,9.10,2:13.97,6,9.05,2:14.08
7,10.40,2:25.60,4,9.33,2:23.19,2,9.17,2:22.78,3,9.21,2:22.98,1,9.05,2:22.56,5,9.36,2:23.33,6,9.31,2:23.39
7,10.88,2:36.48,4,9.44,2:32.63,2,9.28,2:32.06,3,9.33,2:32.31,1,9.31,2:31.87,5,9.56,2:32.89,6,9.69,2:33.08
