Maxime CHATAIGNIER POSITION,Maxime CHATAIGNIER LAP TIME,Maxime CHATAIGNIER ELAPSED TIME,Alex McEWAN POSITION,Alex McEWAN LAP TIME,Alex McEWAN ELAPSED TIME,Ganbat JARGALANCHULUUN POSITION,Ganbat JARGALANCHULUUN LAP TIME,Ganbat JARGALANCHULUUN ELAPSED TIME,Jonathan GUILMETTE POSITION,Jonathan GUILMETTE LAP TIME,Jonathan GUILMETTE ELAPSED TIME,SUI Bao Ku POSITION,SUI Bao Ku LAP TIME,SUI Bao Ku ELAPSED TIME,Jarmil HRUZA POSITION,Jarmil HRUZA LAP TIME,Jarmil HRUZA ELAPSED TIME
1,7.578,7.578,3,8.032,8.032,6,8.998,8.998,2,7.691,7.691,5,8.252,8.252,4,8.204,8.204
1,10.252,17.830,2,9.970,18.002,6,11.597,20.594,3,10.360,18.051,5,10.107,18.359,4,10.058,18.261
2,9.857,27.687,3,9.953,27.954,6,11.433,32.027,1,9.633,27.683,5,9.745,28.104,4,9.765,28.026
1,9.862,37.549,4,9.973,37.926,6,11.446,43.473,2,10.031,37.713,5,9.890,37.993,3,9.873,37.899
2,10.040,47.588,5,9.977,47.903,6,11.637,55.109,1,9.854,47.567,3,9.774,47.767,4,9.934,47.833
1,10.120,57.708,3,10.150,58.052,6,12.754,1:07.862,2,10.370,57.937,5,10.449,58.216,4,10.233,58.065
1,10.596,1:08.304,4,10.547,1:08.599,6,12.882,1:20.744,2,10.441,1:08.378,5,10.538,1:08.753,3,10.450,1:08.515
1,10.788,1:19.091,4,10.665,1:19.263,6,12.469,1:33.212,2,10.715,1:19.092,5,10.713,1:19.465,3,10.645,1:19.159
5,10.959,1:30.050,3,10.567,1:29.829,6,12.965,1:46.177,2,10.679,1:29.771,4,10.483,1:29.948,1,10.552,1:29.711
5,10.173,1:40.222,4,10.288,1:40.116,6,13.705,1:59.882,2,9.917,1:39.687,1,9.681,1:39.628,3,10.329,1:40.039
2,9.484,1:49.706,5,10.041,1:50.157,6,13.975,2:13.856,3,10.071,1:49.758,1,10.009,1:49.637,4,9.879,1:49.917
4,10.314,2:00.020,5,10.786,2:00.942,6,13.915,2:27.770,2,10.062,1:59.820,1,9.946,1:59.582,3,10.026,1:59.943
4,10.248,2:10.268,5,12.353,2:13.294,6,14.762,2:42.532,1,9.863,2:09.683,2,10.194,2:09.776,3,10.311,2:10.253
3,10.34,2:20.605,5,14.36,2:27.652,6,15.12,2:57.648,1,9.60,2:19.283,2,10.21,2:19.978,4,10.87,2:21.114
