Hitomi SAITO POSITION,Hitomi SAITO LAP TIME,Hitomi SAITO ELAPSED TIME,van KERKHOF Yara POSITION,van KERKHOF Yara LAP TIME,van KERKHOF Yara ELAPSED TIME,CHOI Min Jeong POSITION,CHOI Min Jeong LAP TIME,CHOI Min Jeong ELAPSED TIME,Katherine REUTTER-ADAMEK POSITION,Katherine REUTTER-ADAMEK LAP TIME,Katherine REUTTER-ADAMEK ELAPSED TIME,CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME,SCHULTING Suzanne POSITION,SCHULTING Suzanne LAP TIME,SCHULTING Suzanne ELAPSED TIME
3,13.02,13.02,2,12.89,12.89,4,13.04,13.04,6,13.90,,5,13.37,13.37,1,12.82,
4,9.74,22.76,2,9.76,22.65,3,9.67,22.71,6,9.72,,5,9.66,23.03,1,9.68,
4,9.57,32.33,2,9.47,32.12,3,9.54,32.25,6,9.43,,5,9.50,32.53,1,9.51,
4,9.80,42.13,2,9.71,41.83,3,9.74,41.99,6,9.55,,5,9.76,42.29,1,9.72,
4,9.47,51.60,2,9.52,51.35,3,9.50,51.49,6,9.63,,5,9.47,51.76,1,9.56,
4,9.51,1:01.11,2,9.50,1:00.85,3,9.48,1:00.97,6,9.89,,5,9.37,1:01.13,1,9.47,
5,9.50,1:10.61,3,9.49,1:10.34,2,9.30,1:10.27,6,10.16,,4,9.25,1:10.38,1,9.47,
5,9.48,1:20.09,4,9.60,1:19.94,1,9.04,1:19.31,6,10.54,,3,9.42,1:19.80,2,9.50,
4,9.59,1:29.669,2,,1:29.536,1,9.24,1:28.546,6,11.02,,3,,1:29.563,2,9.64,
