Yoshiaki OGURO POSITION,Yoshiaki OGURO LAP TIME,Yoshiaki OGURO ELAPSED TIME,Jack WHELBOURNE POSITION,Jack WHELBOURNE LAP TIME,Jack WHELBOURNE ELAPSED TIME,Pierre BODA POSITION,Pierre BODA LAP TIME,Pierre BODA ELAPSED TIME,Nurbergen ZHUMAGAZIYEV POSITION,Nurbergen ZHUMAGAZIYEV LAP TIME,Nurbergen ZHUMAGAZIYEV ELAPSED TIME
1,6.98,6.98,2,7.09,7.09,3,7.19,7.19,4,7.39,7.39
2,9.16,16.14,1,8.99,16.08,3,9.06,16.25,4,8.97,16.36
2,8.65,24.79,1,8.56,24.64,3,8.64,24.89,4,8.64,25.00
2,8.61,33.40,1,8.66,33.30,3,8.62,33.51,4,8.65,33.65
2,8.94,42.333,1,8.97,42.261,3,8.91,42.416,4,8.96,42.609
