Xeniya MOTOVA POSITION,Xeniya MOTOVA LAP TIME,Xeniya MOTOVA ELAPSED TIME,Katalin KRISTO POSITION,Katalin KRISTO LAP TIME,Katalin KRISTO ELAPSED TIME,WANG Xinyue POSITION,WANG Xinyue LAP TIME,WANG Xinyue ELAPSED TIME,Veronika WINDISCH POSITION,Veronika WINDISCH LAP TIME,Veronika WINDISCH ELAPSED TIME,SUN Linlin POSITION,SUN Linlin LAP TIME,SUN Linlin ELAPSED TIME
1,9.49,9.49,3,9.80,9.80,4,10.04,10.04,2,9.68,9.68,5,10.22,10.22
1,13.96,23.45,3,13.98,23.78,4,13.99,24.03,2,13.99,23.67,5,13.98,24.20
1,12.68,36.13,3,12.67,36.45,4,12.61,36.64,2,12.66,36.33,5,12.63,36.83
1,12.36,48.49,3,12.30,48.75,4,12.26,48.90,2,12.29,48.62,5,12.19,49.02
3,12.06,1:00.55,2,11.76,1:00.51,4,11.93,1:00.83,1,11.88,1:00.50,5,12.00,1:01.02
3,11.28,1:11.83,2,11.23,1:11.74,4,11.11,1:11.94,1,11.12,1:11.62,5,11.03,1:12.05
4,11.25,1:23.08,2,11.10,1:22.84,3,10.95,1:22.89,1,11.14,1:22.76,5,11.20,1:23.25
4,10.10,1:33.18,2,10.16,1:33.00,3,10.18,1:33.07,1,10.22,1:32.98,5,10.08,1:33.33
4,10.09,1:43.27,2,10.07,1:43.07,3,10.06,1:43.13,1,10.01,1:42.99,5,10.04,1:43.37
4,10.02,1:53.29,3,10.07,1:53.14,2,9.94,1:53.07,1,10.01,1:53.00,5,10.05,1:53.42
4,10.14,2:03.43,3,10.15,2:03.29,2,10.10,2:03.17,1,10.04,2:03.04,5,10.10,2:03.52
4,10.16,2:13.59,3,10.16,2:13.45,2,10.20,2:13.37,1,10.23,2:13.27,5,10.07,2:13.59
5,10.64,2:24.23,4,10.43,2:23.88,2,10.41,2:23.78,1,10.44,2:23.71,3,10.29,2:23.88
5,10.68,2:34.906,4,10.70,2:34.571,2,10.71,2:34.485,3,10.79,2:34.492,1,9.88,2:33.757
