Stephanie BOUVIER POSITION,Stephanie BOUVIER LAP TIME,Stephanie BOUVIER ELAPSED TIME,Evgenia RADANOVA POSITION,Evgenia RADANOVA LAP TIME,Evgenia RADANOVA ELAPSED TIME,YANG A Yang POSITION,YANG A Yang LAP TIME,YANG A Yang ELAPSED TIME,WANG Meng POSITION,WANG Meng LAP TIME,WANG Meng ELAPSED TIME
1,15.438,15.438,4,15.913,15.913,3,15.860,15.860,2,15.809,15.809
2,11.272,26.710,4,11.029,26.941,1,10.826,26.686,3,11.014,26.823
2,10.005,36.715,4,10.217,37.157,1,9.991,36.676,3,10.101,36.923
2,10.005,46.719,4,9.811,46.967,1,9.650,46.326,3,9.880,46.803
2,9.849,56.567,4,9.824,56.791,1,10.195,56.521,3,9.930,56.732
2,10.155,1:06.722,4,10.311,1:07.101,1,9.993,1:06.513,3,10.123,1:06.855
3,10.094,1:16.816,4,9.822,1:16.922,1,9.924,1:16.436,2,9.937,1:16.792
4,10.238,1:27.054,3,9.721,1:26.643,1,9.946,1:26.382,2,9.822,1:26.614
4,10.55,1:37.600,2,9.86,1:36.497,1,10.10,1:36.474,3,10.16,1:36.770
