Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,Oleksiy KOSHELENKO POSITION,Oleksiy KOSHELENKO LAP TIME,Oleksiy KOSHELENKO ELAPSED TIME,Myukerrem TOP POSITION,Myukerrem TOP LAP TIME,Myukerrem TOP ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME
2,12.97,12.97,1,12.60,12.60,4,13.39,13.39,3,13.08,13.08
2,9.65,22.62,1,9.75,22.35,4,9.39,22.78,3,9.61,22.69
2,9.53,32.15,1,9.66,32.01,4,9.62,32.40,3,9.54,32.23
2,9.50,41.65,1,9.58,41.59,4,9.45,41.85,3,9.49,41.72
2,9.54,51.19,1,9.52,51.11,4,9.54,51.39,3,9.51,51.23
2,9.25,1:00.44,3,9.42,1:00.53,4,9.35,1:00.74,1,9.20,1:00.43
1,9.41,1:09.85,3,9.65,1:10.18,4,9.48,1:10.22,2,9.46,1:09.89
1,9.29,1:19.14,4,24.26,1:34.44,3,10.03,1:20.25,2,9.32,1:19.21
1,9.37,1:28.501,4,13.33,1:47.762,3,10.28,1:30.525,2,9.30,1:28.502
