PENCHEVA Zornica POSITION,PENCHEVA Zornica LAP TIME,PENCHEVA Zornica ELAPSED TIME,DOLGOPOLOVA Mariya POSITION,DOLGOPOLOVA Mariya LAP TIME,DOLGOPOLOVA Mariya ELAPSED TIME,VIVIANI Elena POSITION,VIVIANI Elena LAP TIME,VIVIANI Elena ELAPSED TIME,Petra JASZAPATI POSITION,Petra JASZAPATI LAP TIME,Petra JASZAPATI ELAPSED TIME
2,16.74,16.74,3,16.85,16.85,4,16.98,16.98,1,16.67,16.67
2,12.61,29.35,3,12.64,29.49,4,12.67,29.65,1,12.56,29.23
2,11.51,40.86,3,11.46,40.95,4,11.41,41.06,1,11.50,40.73
2,10.61,51.47,4,10.60,51.55,3,10.48,51.54,1,10.62,51.35
3,9.89,1:01.36,4,10.05,1:01.60,2,9.55,1:01.09,1,9.72,1:01.07
3,9.79,1:11.15,4,10.01,1:11.61,1,9.56,1:10.65,2,9.70,1:10.77
3,10.02,1:21.17,4,10.21,1:21.82,1,9.93,1:20.58,2,9.90,1:20.67
3,10.42,1:31.59,4,10.53,1:32.35,1,10.35,1:30.93,2,10.33,1:31.00
3,11.00,1:42.59,4,10.86,1:43.21,2,10.70,1:41.63,1,9.96,1:40.96
