Roberto PUKITIS POSITION,Roberto PUKITIS LAP TIME,Roberto PUKITIS ELAPSED TIME,Csaba BURJAN POSITION,Csaba BURJAN LAP TIME,Csaba BURJAN ELAPSED TIME,Billy SIMMS POSITION,Billy SIMMS LAP TIME,Billy SIMMS ELAPSED TIME,ZHAXYBAYEV Mersaid POSITION,ZHAXYBAYEV Mersaid LAP TIME,ZHAXYBAYEV Mersaid ELAPSED TIME
2,14.58,14.58,3,14.64,14.64,1,14.51,14.51,4,14.68,14.68
2,11.27,25.85,4,11.56,26.20,1,11.21,25.72,3,11.28,25.96
2,10.43,36.28,4,10.14,36.34,1,10.45,36.17,3,10.35,36.31
3,9.46,45.74,1,9.15,45.49,2,9.46,45.63,4,9.58,45.89
3,9.32,55.06,1,9.39,54.88,2,9.34,54.97,4,9.29,55.18
3,9.37,1:04.43,1,9.44,1:04.32,2,9.45,1:04.42,4,9.42,1:04.60
2,9.06,1:13.49,1,9.07,1:13.39,3,9.24,1:13.66,4,9.15,1:13.75
1,8.93,1:22.42,2,9.04,1:22.43,3,8.99,1:22.65,4,8.99,1:22.74
1,8.94,1:31.359,2,9.14,1:31.566,3,9.13,1:31.776,4,9.09,1:31.821
