Oleksiy KOSHELENKO POSITION,Oleksiy KOSHELENKO LAP TIME,Oleksiy KOSHELENKO ELAPSED TIME,Anthony LOBELLO POSITION,Anthony LOBELLO LAP TIME,Anthony LOBELLO ELAPSED TIME,Alexander SELEZNOV POSITION,Alexander SELEZNOV LAP TIME,Alexander SELEZNOV ELAPSED TIME,Mark JACKSON POSITION,Mark JACKSON LAP TIME,Mark JACKSON ELAPSED TIME
1,13.24,13.24,3,13.90,13.90,4,14.01,14.01,2,13.46,13.46
1,10.28,23.52,3,10.08,23.98,4,10.12,24.13,2,10.23,23.69
1,9.83,33.35,4,9.94,33.92,3,9.75,33.88,2,10.01,33.70
1,9.80,43.15,2,9.59,43.51,4,9.95,43.83,3,9.84,43.54
1,9.55,52.70,3,9.69,53.20,4,9.68,53.51,2,9.52,53.06
1,9.43,1:02.13,3,9.32,1:02.52,4,9.39,1:02.90,2,9.25,1:02.31
2,9.41,1:11.54,3,9.09,1:11.61,4,9.88,1:12.78,1,9.21,1:11.52
3,9.39,1:20.93,2,9.04,1:20.65,4,10.03,1:22.81,1,9.12,1:20.64
3,10.16,1:31.090,1,9.33,1:29.978,4,10.45,1:33.256,2,9.50,1:30.133
