DANDJINOU William POSITION,DANDJINOU William LAP TIME,DANDJINOU William ELAPSED TIME,Davut TAHTACI POSITION,Davut TAHTACI LAP TIME,Davut TAHTACI ELAPSED TIME,SCHUBERT Christoph POSITION,SCHUBERT Christoph LAP TIME,SCHUBERT Christoph ELAPSED TIME,Muhammed Emir HAN POSITION,Muhammed Emir HAN LAP TIME,Muhammed Emir HAN ELAPSED TIME,MURPHY Peter POSITION,MURPHY Peter LAP TIME,MURPHY Peter ELAPSED TIME
2,14.19,14.19,4,14.45,14.45,1,14.06,14.06,3,14.37,14.37,5,14.47,14.47
1,10.36,24.55,5,10.53,24.98,1,10.49,24.55,4,10.56,24.93,3,10.28,24.75
1,10.01,34.56,5,9.83,34.81,2,10.03,34.58,3,9.70,34.63,4,10.00,34.75
2,9.47,44.03,5,9.59,44.40,1,9.32,43.90,3,9.52,44.15,4,9.53,44.28
2,9.36,53.39,5,9.25,53.65,1,9.37,53.27,3,9.31,53.46,4,9.31,53.59
2,9.16,1:02.55,4,9.14,1:02.79,1,9.21,1:02.48,4,9.33,1:02.79,3,9.14,1:02.73
1,8.82,1:11.37,3,9.17,1:11.96,2,9.15,1:11.63,4,9.33,1:12.12,5,9.47,1:12.20
1,9.06,1:20.43,3,9.06,1:21.02,2,9.09,1:20.72,5,10.38,1:22.50,4,9.47,1:21.67
1,9.21,1:29.64,3,9.22,1:30.240,2,9.27,1:29.99,5,15.66,1:38.165,4,9.66,1:31.330
