Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME,Jose Ignacio FAZIO POSITION,Jose Ignacio FAZIO LAP TIME,Jose Ignacio FAZIO ELAPSED TIME,Bartosz KONOPKO POSITION,Bartosz KONOPKO LAP TIME,Bartosz KONOPKO ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME
4,7.53,7.53,3,7.52,7.52,1,6.86,6.86,2,7.32,7.32
3,9.30,16.83,4,9.56,17.08,1,9.10,15.96,2,9.01,16.33
3,8.66,25.49,4,9.28,26.36,1,8.77,24.73,2,8.48,24.81
3,8.86,34.35,4,9.59,35.95,2,8.91,33.64,1,8.66,33.47
3,9.22,43.565,4,9.99,45.933,2,9.14,42.771,1,8.87,42.338
