LIN Chun-Chieh POSITION,LIN Chun-Chieh LAP TIME,LIN Chun-Chieh ELAPSED TIME,Triphop THONGNGAM POSITION,Triphop THONGNGAM LAP TIME,Triphop THONGNGAM ELAPSED TIME,Georgi TSVETKOV POSITION,Georgi TSVETKOV LAP TIME,Georgi TSVETKOV ELAPSED TIME,FAJKUS Radek POSITION,FAJKUS Radek LAP TIME,FAJKUS Radek ELAPSED TIME,Moritz KREUSELER POSITION,Moritz KREUSELER LAP TIME,Moritz KREUSELER ELAPSED TIME
3,15.23,15.23,2,15.12,15.12,5,15.49,15.49,4,15.34,,1,15.04,15.04
3,12.50,27.73,2,12.47,27.59,5,12.56,28.05,4,12.56,,1,12.47,27.51
4,11.92,39.65,2,11.87,39.46,5,11.81,39.86,3,11.67,,1,11.94,39.45
4,10.80,50.45,3,10.81,50.27,5,11.13,50.99,1,10.43,,2,10.65,50.10
4,10.25,1:00.70,3,10.29,1:00.56,5,11.04,1:02.03,1,10.34,,2,10.36,1:00.46
4,10.05,1:10.75,2,9.92,1:10.48,5,11.11,1:13.14,1,10.10,,3,10.05,1:10.51
3,9.54,1:20.29,2,9.55,1:20.03,5,11.55,1:24.69,1,9.56,,4,9.82,1:20.33
2,9.47,1:29.76,1,9.62,1:29.65,5,11.61,1:36.30,4,10.16,,3,9.74,1:30.07
2,9.73,1:39.49,1,9.75,1:39.40,5,11.97,1:48.27,4,10.62,,3,9.80,1:39.87
