Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME,Tatiana BORODULINA POSITION,Tatiana BORODULINA LAP TIME,Tatiana BORODULINA ELAPSED TIME,SUN Linlin POSITION,SUN Linlin LAP TIME,SUN Linlin ELAPSED TIME,Annita van DOORN POSITION,Annita van DOORN LAP TIME,Annita van DOORN ELAPSED TIME
1,13.17,13.17,3,13.35,13.35,2,13.20,13.20,4,13.41,13.41
1,10.24,23.41,4,31.06,44.41,2,10.30,23.50,3,27.15,40.56
1,10.95,34.36,4,14.65,59.06,2,10.96,34.46,3,14.33,54.89
1,11.58,45.94,4,11.36,1:10.42,2,11.60,46.06,3,13.01,1:07.90
1,12.06,58.00,4,10.93,1:21.35,2,12.06,58.12,3,12.86,1:20.76
2,12.11,1:10.11,3,10.64,1:31.99,1,11.87,1:09.99,4,11.76,1:32.52
2,11.05,1:21.16,3,10.40,1:42.39,1,11.05,1:21.04,4,10.75,1:43.27
2,10.49,1:31.65,3,10.30,1:52.69,1,10.50,1:31.54,4,10.75,1:54.02
2,10.28,1:41.923,3,10.95,2:03.638,1,10.16,1:41.697,0,,DQ
