LEE Jung Su POSITION,LEE Jung Su LAP TIME,LEE Jung Su ELAPSED TIME,TSANG Kei Wing Kelvin POSITION,TSANG Kei Wing Kelvin LAP TIME,TSANG Kei Wing Kelvin ELAPSED TIME,Paul STANLEY POSITION,Paul STANLEY LAP TIME,Paul STANLEY ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,Edin BRANKOVIC POSITION,Edin BRANKOVIC LAP TIME,Edin BRANKOVIC ELAPSED TIME
2,7.18,7.18,4,7.59,7.59,1,7.06,7.06,3,7.29,7.29,5,7.89,7.89
2,9.18,16.36,4,9.54,17.13,1,9.23,16.29,3,9.18,16.47,5,9.51,17.40
2,8.81,25.17,4,9.18,26.31,1,8.74,25.03,3,8.78,25.25,5,9.11,26.51
3,8.86,34.03,4,9.35,35.66,1,8.92,33.95,2,8.77,34.02,5,9.23,35.74
3,9.28,43.31,5,11.27,46.93,1,9.14,43.09,2,9.11,43.13,4,9.79,45.53
