Myrtille GOLLIN POSITION,Myrtille GOLLIN LAP TIME,Myrtille GOLLIN ELAPSED TIME,Allison BAVER POSITION,Allison BAVER LAP TIME,Allison BAVER ELAPSED TIME,TSOI Cordia Po Yee POSITION,TSOI Cordia Po Yee LAP TIME,TSOI Cordia Po Yee ELAPSED TIME,LIU Xiao Ying POSITION,LIU Xiao Ying LAP TIME,LIU Xiao Ying ELAPSED TIME
2,10.653,10.653,3,10.798,10.798,1,10.362,10.362,4,11.029,11.029
2,13.364,24.017,3,13.247,24.045,1,13.458,23.820,4,13.151,24.180
1,12.144,36.160,3,12.332,36.377,2,12.352,36.171,4,12.366,36.546
2,12.371,48.530,3,12.219,48.595,1,12.215,48.386,4,12.254,48.799
2,12.544,1:01.074,3,12.655,1:01.250,1,12.575,1:00.960,4,12.478,1:01.277
2,12.541,1:13.615,3,12.402,1:13.651,1,12.542,1:13.502,4,12.482,1:13.759
2,12.267,1:25.881,1,11.976,1:25.627,4,12.737,1:26.238,3,12.294,1:26.053
2,10.989,1:36.870,1,11.124,1:36.751,4,12.696,1:38.933,3,10.996,1:37.048
2,10.677,1:47.546,1,10.671,1:47.421,4,13.060,1:51.993,3,10.626,1:47.674
2,10.252,1:57.798,1,10.192,1:57.612,4,13.365,2:05.358,3,10.203,1:57.876
1,9.811,2:07.608,2,10.033,2:07.644,4,14.325,2:19.683,3,9.857,2:07.733
1,9.802,2:17.410,3,9.953,2:17.597,4,13.645,2:33.327,2,9.721,2:17.453
1,9.973,2:27.382,3,10.197,2:27.794,4,13.716,2:47.043,2,9.949,2:27.402
2,10.31,2:37.692,3,10.45,2:38.240,4,13.66,3:00.701,1,10.06,2:37.458
