Aliaksandr ANTANENKA POSITION,Aliaksandr ANTANENKA LAP TIME,Aliaksandr ANTANENKA ELAPSED TIME,LI Jiajun POSITION,LI Jiajun LAP TIME,LI Jiajun ELAPSED TIME,Balazs KNOCH POSITION,Balazs KNOCH LAP TIME,Balazs KNOCH ELAPSED TIME,Lubomir POPOVSKI POSITION,Lubomir POPOVSKI LAP TIME,Lubomir POPOVSKI ELAPSED TIME,Andreas TANNER POSITION,Andreas TANNER LAP TIME,Andreas TANNER ELAPSED TIME,AHN Hyun-Soo POSITION,AHN Hyun-Soo LAP TIME,AHN Hyun-Soo ELAPSED TIME
4,10.232,10.232,1,9.926,9.926,6,10.516,10.516,5,10.427,10.427,2,10.003,10.003,3,10.004,10.004
6,12.871,23.102,2,12.807,22.733,4,12.398,22.913,5,12.521,22.947,3,12.824,22.827,1,12.559,22.563
6,11.608,34.710,3,11.540,34.272,4,11.579,34.492,1,11.008,33.954,5,11.711,34.537,2,11.630,34.192
6,11.033,45.742,3,11.163,45.434,4,11.047,45.539,1,11.221,45.174,5,11.102,45.639,2,11.127,45.318
3,10.658,56.400,4,11.088,56.522,6,11.287,56.825,1,11.116,56.290,5,11.130,56.769,2,11.024,56.342
3,10.523,1:06.922,4,10.424,1:06.946,6,10.203,1:07.027,2,10.464,1:06.754,5,10.242,1:07.010,1,10.377,1:06.719
5,10.922,1:17.844,3,10.557,1:17.502,4,10.771,1:17.798,2,10.726,1:17.479,6,10.894,1:17.904,1,10.693,1:17.411
5,10.580,1:28.424,1,10.526,1:28.027,4,10.437,1:28.234,3,10.619,1:28.097,6,10.527,1:28.431,2,10.616,1:28.027
6,10.608,1:39.031,1,10.219,1:38.246,4,10.275,1:38.508,3,10.401,1:38.497,5,10.399,1:38.829,2,10.383,1:38.410
6,9.985,1:49.015,1,10.102,1:48.347,4,10.126,1:48.633,3,10.103,1:48.600,5,10.010,1:48.839,2,9.989,1:48.398
6,10.172,1:59.186,2,9.826,1:58.172,3,9.666,1:58.299,4,9.791,1:58.391,5,9.888,1:58.726,1,9.405,1:57.802
6,10.692,2:09.878,2,9.155,2:07.327,3,9.431,2:07.729,4,10.018,2:08.409,5,9.898,2:08.624,1,9.379,2:07.181
6,10.826,2:20.703,2,9.429,2:16.755,3,9.743,2:17.472,5,10.538,2:18.946,4,10.275,2:18.899,1,9.270,2:16.450
6,11.20,2:31.899,2,9.86,2:26.609,3,10.87,2:28.341,4,10.79,2:29.728,5,10.93,2:29.821,1,9.71,2:26.152
